,Restaurante,Valoracion,Nota,Delivery_fee,ETA,Tag,Precio,Direccion,Barrio,Lat,Lon
641,BURRITOS & TACOS,86,3.5,2.5,40–60,Burritos,€,"Avenida Peña Prieta 50,   Madrid",Moratalaz,40.40139,-3.6655
642,Asador Delicasa,14,4.0,2.5,40–60,Carne,€,"Fuente Carrantona 24,  Madrid",Moratalaz,40.40526,-3.63349
643,TGB,174,3.9,2.5,40–60,Hamburguesas,€,"Avenida Unión Europea 5,   Madrid",Moratalaz,40.40001,-3.75089
644,Ágora Torrejón,60,3.8,2.5,40–60,Fried Foods,€,"Avenida De Buenos Aires 63,   Madrid",Moratalaz,40.38641,-3.65337
645,Kebab Turca,60,3.8,2.5,40–60,Kebab,€,"Av. De La Albufera, 226,  Madrid",Moratalaz,40.39097,-3.64937
646,Ateshgah Albufera,60,3.8,2.5,40–60,Fritura,€,"Avenida Pablo Neruda, 96 ,  Madrid",Moratalaz,40.38315,-3.64917
647,Superbestia,60,3.8,2.5,40–60,Pizza,€,"Calle De Embajadores, 12 ,   Madrid",Moratalaz,40.40069,-3.69925
648,TUTTO PASTA!,26,2.8,2.5,40–60,Pizza,€,"Alcalde Luis De Marichala 3,  Madrid",Ciudad Lineal,40.4361,-3.6722
649,Papa John's,127,4.1,1.4,35–45,Pizza,€,"Calle Azulejo 2,   Madrid",Ciudad Lineal,40.33274,-3.71905
650,Pizzería Argentina El Trébol,60,3.8,2.9,45–55,Pizza,€€,"Calle De La Alianza 33,   Madrid",Ciudad Lineal,40.35775,-3.68689
651,Chinawokexpress,200,4.2,4.25,30–50,China,€€,"Calle Lopez de Hoyos 15,  Madrid",Ciudad Lineal,40.44861,-3.66712
652,El Burrito Borracho,60,2.7,2.9,40–50,Burritos,€,"Calle Azulejo 2,   Madrid",Ciudad Lineal,40.33274,-3.71905
653,Pizzería Argentina El Trébol,60,2.7,1.9,40–50,Pizza,€,"Calle De Berastegui 24,   Madrid",Ciudad Lineal,40.43013,-3.64274
654,Perla del Pacifico,30,4.3,1.4,35–45,Mediterránea,€€€,"Calle De La Alianza 33,   Madrid",Ciudad Lineal,40.35775,-3.68689
655,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Plaza Bami, 26,  Madrid",Ciudad Lineal,40.45866,-3.64638
656,El Burrito Borracho,60,2.7,1.4,30–40,Burritos,€,"Calle De José Ortega Y Gasset 94,  Madrid",Ciudad Lineal,40.42986,-3.67176
657,Empanadas Malvón,48,4.9,1.9,25–35,Empanada,€€€,"Calle Azulejo 2,   Madrid",Ciudad Lineal,40.33274,-3.71905
658,Empanadas BAIRES,60,2.7,1.9,40–50,Empanada,€,"López De Hoyos , 153,  Madrid",Ciudad Lineal,40.44872,-3.66864
659,Popeyes,200,4.4,1.9,35–45,Pollo,€,"Alcala 191,  Madrid",Ciudad Lineal,40.42768,-3.66996
660,Pastamore,98,4.6,2.4,30–40,Italiana,€,"Calle Esteban Collantes, 31,   Madrid",Ciudad Lineal,40.43166,-3.64089
661,Croqueteria Focos,60,2.7,1.4,25–35,Croquetas,€,"Calle Del Príncipe De Vergara, 210,  Madrid",Ciudad Lineal,40.42562,-3.67992
662,Home Burger Bar,198,4.1,2.4,35–45,Hamburguesas,€,"Calle De La Virgen De La Fuencisla, 19,   Madrid",Ciudad Lineal,40.39654,-3.66673
663,HyH Kebab Fried Chicken,23,3.6,1.0,40–60,Pollo,€,"Calle Mateo García, 13,  Madrid",Ciudad Lineal,40.4316,-3.65271
664,Pollos Gourmet,22,2.7,1.4,25–35,Pollo,€€,"Calle De Azcona 36,   Madrid",Ciudad Lineal,40.38927,-3.7415
665,Arepish,186,4.6,1.9,30–40,Venezolana,€,"Calle De Cronos, 6,  Madrid",Ciudad Lineal,40.43833,-3.61963
666,Ichibanya,40,4.0,1.9,40–60,Comida rápida,€,"Calle De Gonzalo De Berceo 63,   Madrid",Ciudad Lineal,40.42865,-3.6399
667,Asador Perla del Pacifico Ascao,39,4.6,1.9,30–40,Carne,€,"Calle De Julián Camarillo 47,   Madrid",Ciudad Lineal,40.43898,-3.61628
668,Pic & Nic,200,4.5,2.4,25–35,Mediterránea,€,"Paseo Del Marqués De Zafra 38,  Madrid",Ciudad Lineal,40.42547,-3.66303
669,DIVE`S FOOD,22,2.7,1.9,40–50,Hamburguesas,€,"Calle De Las Naciones 5,   Madrid",Ciudad Lineal,40.42685,-3.6736
670,PaellaGood,22,2.7,2.4,45–55,Mediterránea,€€,"Calle De Alcalá, 339,  Madrid",Ciudad Lineal,40.44291,-3.61886
671,Pa Picar,22,2.7,0.9,20–30,Mediterránea,€,"Calle Del Gral. Pardiñas, 32,  Madrid",Ciudad Lineal,40.42651,-3.67813
672,Rude Burger,36,4.8,2.9,40–50,Hamburguesas,€€,"Calle Lopez de Hoyos 15,  Madrid",Ciudad Lineal,40.44861,-3.66712
673,100 % Sano,22,2.7,2.9,35–45,Saludable,€,"Calle De San Romualdo, 22,  Madrid",Ciudad Lineal,40.43824,-3.62185
674,McDonald's,200,4.2,2.4,20–30,Hamburguesas,€,"Calle Del Marqués De Mondéjar, 4,   Madrid",Ciudad Lineal,40.42681,-3.66684
675,Thai Zafra,38,4.6,1.9,25–35,Opciones para alergias,€,"Calle De María De Molina, 44,  Madrid",Ciudad Lineal,40.43794,-3.68459
676,Flame,22,2.7,2.4,45–55,Hamburguesas,€€,"Calle Conde De Penalver 35,   Madrid",Ciudad Lineal,40.42846,-3.67524
677,Cor & Cor,35,4.3,2.4,50–60,Postres,€,"Calle De Maldonado, 51,  Madrid",Ciudad Lineal,40.43378,-3.6789
678,Tiendas 7x24,140,4.8,2.4,30–40,Fusión asiática,€,"Calle De Méjico 20,   Madrid",Ciudad Lineal,40.43736,-3.67305
679,Restaurante Chino Diamante,100,4.0,1.9,35–45,China,€,"Calle De Emilio Gastesi Fernández 12,  Madrid",Ciudad Lineal,40.43697,-3.64814
680,Tienduki,22,2.7,2.99,5–25 ,Comida rápida,€,"Calle Del Dr. Esquerdo, 10,  Madrid",Ciudad Lineal,40.42661,-3.66826
681,Empanadas Pampas,22,2.7,2.4,35–45,Empanada,€,"Calle Ferretería, 3,  Madrid",Ciudad Lineal,40.4273,-3.62271
682,Make doner,15,3.9,2.4,50–60,Sándwiches,€,"Calle Zabaleta 1,   Madrid",Ciudad Lineal,40.44065,-3.67537
683,CHUCK CHUCK CHICKEN,22,2.7,2.4,40–50,Pollo,€,"Calle De Mota Del Cuervo, 76,  Madrid",Ciudad Lineal,40.46491,-3.62973
685,Tim Hortons,36,4.9,1.4,25–35,Comida reconfortante,€,"Calle De Arturo Soria, 189,  Madrid",Ciudad Lineal,40.45843,-3.65932
686,Pasteleria Saul,27,4.2,2.4,25–35,Postres,€€,"Plaza Sagrado Corazón De Jesús, 2,  Madrid",Ciudad Lineal,40.41349,-3.69582
687,Foster's Hollywood,65,4.2,2.4,40–50,Americana,€,"Calle De Silvano, 77,  Madrid",Ciudad Lineal,40.4629,-3.6357
688,Kebab Bosforos,80,4.5,2.9,40–50,Kebab,€,"Av. Del Marqués De Corbera, 40,  Madrid",Ciudad Lineal,40.42727,-3.65018
689,Bar el castaño,22,2.7,1.9,30–40,Mediterranea,€,"Calle De Hermosilla, 91,  Madrid",Ciudad Lineal,40.42607,-3.67616
690,Esmirna Doner Kebap,48,4.7,2.4,35–45,Kebab,€,"Calle Zabaleta 1,   Madrid",Ciudad Lineal,40.44065,-3.67537
692,Frambons,22,2.7,2.4,35–45,Empanada,€,"Av. Del Mediterráneo, 30,  Madrid",Ciudad Lineal,40.40675,-3.67267
694,Doner kebap efes,23,4.7,2.4,25–35,Kebab,€,"Calle De López De Hoyos, 139,  Madrid",Ciudad Lineal,40.44849,-3.66731
695,Doner kebap efes,30,4.6,1.9,30–40,Kebab,€,"Calle De Alcalá 205,  Madrid",Ciudad Lineal,40.44291,-3.61886
698,Sumo Grill,26,4.5,2.9,60–70,Opciones para alergias,€,"Calle De Ezequiel Solana, 52,  Madrid",Ciudad Lineal,40.43037,-3.64518
699,Da Yuan,200,4.4,2.9,60–70,Pasta,€,"Calle Del Conde De Peñalver, 66,  Madrid",Ciudad Lineal,40.43141,-3.67496
