,Restaurante,Valoracion,Nota,Delivery_fee,ETA,Tag,Precio,Direccion,Barrio,Lat,Lon
143,100 % Sano,30,3.1,1.9,35–45,Saludable,€,"Calle Libertad, 9,  Madrid",Retiro,40.42072,-3.69767
144,Puccias Chueca,30,3.1,2.4,40–50,Americana,€,"Calle Del Gral. Pardiñas, 32,  Madrid",Retiro,40.42651,-3.67813
145,Rude Burger,36,4.8,1.9,35–45,Hamburguesas,€€,"Calle Conde De Penalver 35,   Madrid",Retiro,40.42846,-3.67524
146,Cor & Cor,35,4.3,1.9,45–55,Postres,€,"Av. De La Albufera, 1,  Madrid",Retiro,40.39833,-3.66869
147,McDonald's,200,4.4,1.4,20–30,Hamburguesas,€,"Calle Del Marqués De Mondéjar, 4,   Madrid",Retiro,40.42681,-3.66684
148,Thai Zafra,38,4.6,1.9,30–40,Pasta,€,"Calle Ariel,15,   Madrid",Retiro,40.41056,-3.71352
149,El Buen Gusto,17,4.5,1.9,45–55,Bar Food,€,"Avenida De La Albufera 119,   Madrid",Retiro,40.39331,-3.65945
150,Kebab Rayo,117,3.8,2.4,35–45,Kebab,€,"Calle De Atocha 98,   Madrid",Retiro,40.41053,-3.6958
151,Capasso Pizza,30,3.1,1.9,35–45,Pizza,€,"Calle De Lavapiés, 34,  Madrid",Retiro,40.41107,-3.70275
152,Shapla Indian,31,4.3,2.4,40–50,Comida reconfortante,€,"Calle De Silva, 25,  Madrid",Retiro,40.42186,-3.70571
153,Home Burger Bar,200,4.3,2.9,60–70,Hamburguesas,€,"Calle Del Dr. Esquerdo, 10,  Madrid",Retiro,40.42661,-3.66826
154,Empanadas Pampas,30,3.1,1.9,35–45,Empanada,€,"Calle Gran Vía, 22,  Madrid",Retiro,40.42011,-3.7007
155,TGB,89,3.9,2.4,60–70,Hamburguesas,€,"Calle Hortaleza,6,  Madrid",Retiro,40.42047,-3.70087
156,Bosforos Turkish Restaurant,34,4.3,2.9,50–60,India,€,"Calle De Atocha, 117,  Madrid",Retiro,40.41013,-3.69412
157,Halal Steak House Grill,30,2.9,1.9,35–45,Carne,€,"Calle De Barceló 6,  Madrid",Retiro,40.42659,-3.70073
158,Mad Pollo,45,4.0,1.9,15–35,Pollo,€,"Av. Del Mediterráneo, 30,  Madrid",Retiro,40.40675,-3.67267
159,Mahalo Poke,30,2.9,2.5,30–50,Poke,€€,"Calle Del Puerto De Balbarán 31,   Madrid",Retiro,40.37649,-3.65629
160,Kebab Entrevias,43,4.5,2.9,35–45,Kebab,€,"Calle De Santa Isabel, 5,  Madrid",Retiro,40.41136,-3.6987
161,Moñetes,30,2.9,1.9,35–45,Pizza,€,"Calle De Embajadores, 15,  Madrid",Retiro,40.40069,-3.69925
