,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,Tag_
222,Taberna Andaluza,25,4.4,1.4,40–50,Mediterránea,€,"Paseo De La Castellana 191,  28046",Chamartín,Mediterránea
223,Taco Bell,200,4.1,1.4,25–35,Hamburguesa,€,"Calle Araucaria 19,  28039",Chamartín,Hamburguesa
224,Roost Chicken,123,4.6,1.9,35–45,Pollo,€,"Av. De Brasil, 6, 28020",Chamartín,Pollo
225,La Mordida,25,4.4,1.4,45–55,SouthAmerica,€,"Calle Del Príncipe De Vergara, 210,   28002",Chamartín,SouthAmerica
226,Home Burger Bar,198,4.1,0.9,25–35,Hamburguesa,€,"Calle De Huesca, 19, Bajo,   28020",Chamartín,Hamburguesa
227,La cabaña de cris,29,2.9,1.9,50–60,Mediterránea,€€€,"Calle De Bravo Murillo 199,  28039",Chamartín,Pollo
228,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle De Manuel De Falla 5,  28036",Chamartín,Pollo
229,Limbo Player Two,29,2.9,0.9,45–55,Carne,€€,"Av. De Brasil, 17, 28020",Chamartín,Carne
230,Ala Sushi,29,2.9,1.4,30–40,Asiática,€€,"Calle De Bravo Murillo, 113, 28039",Chamartín,Asiática
231,Little Caesars Pizza,200,4.6,3.0,5–25,Pizza,€,"Calle De La Infanta Mercedes, 17, 28020",Chamartín,Pizza
232,Toro Burger Lounge,23,4.1,1.9,55–65,Hamburguesa,€,"Castellana, 123, 28046",Chamartín,Hamburguesa
233,Popeyes,200,4.0,1.4,30–40,Pollo,€,"Calle Castilla,4 ,28039",Chamartín,Pollo
234,MANKA,52,4.9,2.4,55–65,Pizza,€,"Paseo De La Castellana 130, 28046",Chamartín,Pizza
235,Yakitoro,26,4.5,1.4,55–65,Asiática,€€€,"Calle De Francos Rodríguez, 42, 28039",Chamartín,Asiática
236,EL ASADOR,40,2.9,2.4,60–70,Carne,€€€,"Calle Del Príncipe De Vergara 256,  28016",Chamartín,Carne
237,Empanadas Malvón,12,5.0,0.9,20–30,Empanada,€,"Paseo De La Castellana, 210, 28036",Chamartín,Empanada
238,Taberna del Volapié,40,2.9,1.4,40–50,Mediterránea,€€,"Calle De Azcona 36,  28028",Chamartín,Mediterránea
239,Arepish,186,4.6,2.9,35–45,SouthAmerica,€,"Calle De Bravo Murillo 122, 28020",Chamartín,SouthAmerica
240,Arepish,53,4.6,2.4,55–65,SouthAmerica,€,"Calle De San Germán, 64, 28020",Chamartín,SouthAmerica
241,Fast chicken chain,40,2.9,1.9,45–55,Pollo,€,"Av. De Pío Xii, 4, 28016",Chamartín,Pollo
242,McDonald's,150,4.5,0.9,20–30,Hamburguesa,€,"Calle De Raimundo Fernández Villaverde, 33, 28020",Chamartín,Hamburguesa
243,Pizza Central,22,3.1,2.4,50–60,Pizza,€,"Calle De Velázquez, 118, 28006",Chamartín,Pizza
244,Makan Saj Manoushe,200,4.9,2.4,30–40,India,€€,"Calle De María De Molina, 44, 28006",Chamartín,India
245,Flame,40,2.9,2.4,45–55,Hamburguesa,€,"Intercambiador De Plaza De Castilla, 28046",Chamartín,Hamburguesa
246,Busburguer,98,4.5,1.4,30–40,Hamburguesa,€,"Calle De Lérida 58,  28020",Chamartín,Hamburguesa
247,Polloco Gourmet,40,2.9,3.0,30–50,Pollo,€,"Calle De Maldonado, 51, 28006",Chamartín,Pollo
248,Tiendas 7x24,140,4.8,2.9,30–40,Tienda,€,"Calle Maldonado 07, 28006",Chamartín,Tienda
249,Artisan Burger,40,2.9,2.4,45–55,Hamburguesa,€,"Bravo Murillo, 120,  28020",Chamartín,Hamburguesa
250,Pomodoro,87,3.8,2.4,55–65,Pizza,€,"Calle De José Abascal 31, 28003",Chamartín,Pizza
251,Junk Burger,31,4.3,2.4,50–60,Hamburguesa,€,"Calle De María De Molina, 16, 28006",Chamartín,Hamburguesa
252,Aloha Poke,163,4.5,2.4,40–50,Poke,€,"Calle De Barceló 6, 318,  28004",Chamartín,Poke
253,Mad Pollo,45,4.0,2.4,15–35,Pollo,€,"Calle Zabaleta 1,  28002",Chamartín,Pollo
254,CHUCK CHUCK CHICKEN,40,2.9,1.9,40–50,Pollo,€,"Calle De Arturo Soria, 189, 28043",Chamartín,Pollo
255,Pasteleria Saul,27,4.2,1.9,25–35,Tienda,€,"Calle Bravo Murillo, 229, 28020",Chamartín,Tienda
256,Galp,19,4.3,1.9,45–55,Tienda,€,"Calle Del Cactus, 42 ,  28039",Chamartín,Tienda
257,Chili House🌶,40,2.9,1.9,45–55,SouthAmerica,€,"Calle De Méjico, 20,  28028",Chamartín,SouthAmerica
258,Restaurante Chino Diamante,100,4.0,2.4,30–40,China,€,"Plaza Sagrado Corazón De Jesús, 2, 28002",Chamartín,China
259,Foster's Hollywood,65,4.2,1.4,30–40,Hamburguesa,€€,"Calle Del Príncipe De Vergara 258,  28016",Chamartín,Hamburguesa
260,Empanadas BAIRES,40,2.9,0.9,25–35,Empanada,€,"Calle Zabaleta 1,  28002",Chamartín,Empanada
261,Golat Helados,40,2.9,1.9,35–45,Dulce,€,"Calle De San Andrés, 31, 28004",Chamartín,Dulce
262,Pic & Nic,200,4.4,3.4,60–70,SouthAmerica,€,"Calle Zabaleta 1,  28002",Chamartín,SouthAmerica
263,Frambons,40,2.9,1.9,35–45,Empanada,€,"Calle De Raimundo Fernández Villaverde 33,  28020",Chamartín,Empanada
264,Empanadas BAIRES,13,4.0,2.4,55–65,Empanada,€,"Calle De Cartagena, 131, 28002",Chamartín,Empanada
265,Doner kebap efes,23,4.7,1.9,25–35,Kebab,€,"Calle De López De Hoyos 11,  28006",Chamartín,Kebab
266,Crepes & Waffles,19,4.5,2.4,45–55,Dulce,€,"Calle De López De Hoyos, 139, 28002",Chamartín,Dulce
267,Doner kebap efes,30,4.6,1.9,30–40,Kebab,€,"Calle Bravo Murillo 218,  28020",Chamartín,Kebab
268,Sultán kebab,19,3.0,1.9,30–40,Kebab,€,"Calle De Bravo Murillo, 215, 28020",Chamartín,Kebab
269,Great Kebab,40,2.9,1.9,40–50,Kebab,€,"Calle De José Calvo 6,  28039",Chamartín,Kebab
270,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores, 28012",Tetuán,India
271,TUTTO PASTA!,26,2.8,2.6,40–60,Pizza,€,"Calle De José Calvo 10, 28039",Tetuán,Pizza
272,Comida de Pueblo,40,3.5,2.4,40–50,Gourmet,€€,"C/ Orense, 11, 28020",Tetuán,Gourmet
273,La Tagliatella,61,4.2,1.9,25–35,Pizza,€€,"C/ Orense, 11, 28020",Tetuán,Pizza
274,La Cuchara,40,3.5,2.9,40–50,Gourmet,€€€,"C/ Orense, 11, 28020",Tetuán,Gourmet
275,La Tagliatella,61,3.8,1.4,25–35,Pizza,€€,"Paseo De La Castellana 191, 28046",Tetuán,Pizza
276,Taco Bell,200,4.1,1.4,20–30,Hamburguesa,€,"Calle De Bravo Murillo 250,  28020",Tetuán,Hamburguesa
277,Empanadas Malvón,25,4.7,0.4,25–35,Empanada,€,"Av. De Brasil, 6, 28020",Tetuán,Empanada
278,La Mordida,25,4.4,0.9,45–55,SouthAmerica,€,"Calle De Bravo Murillo, 206, 28020",Tetuán,SouthAmerica
279,Express 88,60,4.6,0.9,30–40,SouthAmerica,€,"Calle De Huesca, 19, Bajo, 28020",Tetuán,SouthAmerica
280,La cabaña de cris,40,3.5,0.9,35–45,Mediterránea,€€€,"Calle De Bravo Murillo 199,  28039",Tetuán,Pollo
281,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle De La Infanta Mercedes 17, 28020",Tetuán,Pollo
282,Toro Burger Lounge,23,4.1,0.9,50–60,Hamburguesa,€,"Calle De Raimundo Fernández Villaverde, 33, 28020",Tetuán,Hamburguesa
283,Pizzería El Trébol 24h,18,4.4,1.4,35–45,Pizza,€,"Av. De Brasil, 17, 28020",Tetuán,Pizza
284,Ala Sushi,40,3.5,0.9,30–40,Asiática,€€,"Calle Castilla,4 , 28039",Tetuán,Asiática
285,MANKA,52,4.9,0.9,40–50,Pizza,€,"Calle De Bravo Murillo, 113, 28039",Tetuán,Pizza
286,Little Caesars Pizza,200,4.6,3.0,15–25,Pizza,€,"Calle De Francos Rodríguez, 42, 28039",Tetuán,Pizza
287,EL ASADOR,40,3.5,0.9,55–65,Carne,€€€,"Calle De Manuel De Falla 5,  28036",Tetuán,Carne
288,Limbo Player Two,40,3.5,1.4,45–55,Carne,€€,"Castellana, 123, 28046",Tetuán,Carne
289,Popeyes,200,4.0,0.9,25–35,Pollo,€,"Calle De San Germán, 64, 28020",Tetuán,Pollo
290,Fast chicken chain,40,3.5,0.9,35–45,Pollo,€,"Paseo De La Castellana 130, 28046",Tetuán,Pollo
291,Yakitoro,26,4.5,1.4,55–65,Asiática,€€€,"Calle Del Príncipe De Vergara, 210, 28002",Tetuán,Asiática
292,Home Burger Bar,198,4.1,1.9,35–45,Hamburguesa,€,"Calle De Bravo Murillo 122, 28020",Tetuán,Hamburguesa
293,Arepish,53,4.6,1.4,40–50,SouthAmerica,€,"C.C. La Vaguada, Av. De Monforte De Lemos, 32, 28029",Tetuán,SouthAmerica
294,TGB,66,4.1,2.4,50–60,Hamburguesa,€,"Calle De Galería De Vallehermoso 4, 28003",Tetuán,Hamburguesa
295,Real Fried Chicken,15,4.3,2.4,50–60,Pollo,€,"Avenida De Monforte De Lemos 36, 28029",Tetuán,Pollo
296,Pollo Criollo,40,3.5,2.4,55–65,Pollo,€,"Calle De Lérida 58,  28020",Tetuán,Pollo
297,Polloco Gourmet,40,3.5,3.0,30–50,Pollo,€,"Paseo De La Castellana, 210, 28036",Tetuán,Pollo
298,Taberna del Volapié,40,3.5,1.4,40–50,Mediterránea,€€,"Calle De Cea Bermúdez 49, 28015",Tetuán,Mediterránea
299,Cerveceria Riaño,40,3.5,2.9,40–50,Tienda,€,"Calle Bravo Murillo, 229, 28020",Tetuán,Tienda
300,Galp,19,4.3,0.9,35–45,Tienda,€,"Calle De Bravo Murillo, 274, 28020",Tetuán,Tienda
301,McDonald's,200,4.2,0.4,20–30,Hamburguesa,€,"Intercambiador De Plaza De Castilla, 28046 ",Tetuán,Hamburguesa
302,Busburguer,98,4.5,1.4,25–35,Hamburguesa,€,"Calle De José Abascal 31, 28003",Tetuán,Hamburguesa
303,Junk Burger,31,4.3,1.9,45–55,Hamburguesa,€,"Calle Del Cactus 42,  28039",Tetuán,Hamburguesa
304,Chili House🌶,40,3.5,0.9,35–45,SouthAmerica,€,"Bravo Murillo, 120,  28020",Tetuán,SouthAmerica
305,Pomodoro,87,3.8,1.4,40–50,Pizza,€,"Calle De Galileo, 75, 28015",Tetuán,Pizza
306,Tosty,40,3.5,2.4,50–60,Pollo,€,"Calle De Barceló 6,  28004",Tetuán,Pollo
307,Mad Pollo,45,4.0,1.4,15–35,Pollo,€,"Calle De María De Molina, 16, 28006",Tetuán,Pollo
308,Aloha Poke,163,4.5,2.4,40–50,Poke,€,"Calle De San Andrés, 31, 28004",Tetuán,Poke
309,Pic & Nic,200,4.4,2.9,55–65,SouthAmerica,€,"Plaza Sagrado Corazón De Jesús, 2, 28002",Tetuán,SouthAmerica
310,Foster's Hollywood,65,4.2,2.4,35–45,Hamburguesa,€€,"Paseo De S. Fco. De Sales, 3, 28003 ",Tetuán,Hamburguesa
311,Taste of America,40,3.5,2.4,35–45,Tienda,€€,"Calle De Raimundo Fernández Villaverde 33,  28020",Tetuán,Hamburguesa
312,Empanadas BAIRES,13,4.0,1.4,45–55,Empanada,€,"Calle Bravo Murillo 218,  28020",Tetuán,Empanada
313,Sultán kebab,19,3.0,0.9,25–35,Kebab,€,"Calle De Bravo Murillo, 34, 28015",Tetuán,Kebab
314,Astros,40,3.5,2.4,45–55,Comida rápida,€,"Calle Del Príncipe De Vergara 258,  28016",Tetuán,Comida rápida
315,Empanadas BAIRES,40,3.5,1.9,35–45,Empanada,€,"Paseo De S. Fco. De Sales, 17, 28003",Tetuán,Empanada
316,Cherry Pecas,92,4.4,2.4,30–40,Comida rápida,€,"Calle De José Calvo 10,  28039",Tetuán,Comida rápida
317,Pops ´n Bops,40,3.5,0.9,45–55,Asiática,€,"Calle De Bravo Murillo, 215, 28020",Tetuán,Asiática
318,Great Kebab,40,3.5,0.9,35–45,Kebab,€,"Calle De Bravo Murillo 193, 28039",Tetuán,Kebab
319,"Real Estambul Pizza, Doner y Kebab",15,3.4,0.9,40–50,SouthAmerica,€,"Cc La Vaguada Av Monforte De Lemos 36,  28029",Tetuán,SouthAmerica
320,Willy Factory,40,3.5,2.4,40–50,Tienda,€,"Av. De Betanzos, 31, 28029 ",Tetuán,Tienda
321,Kebab Rico Rico,44,4.4,0.9,40–50,Kebab,€,"Calle Federico Sainz De Robles 3, 28035",Tetuán,Kebab
322,Oriental Palace,167,4.4,2.4,40–50,Asiática,€€€,"Calle De La Infanta Mercedes, 103, 28020",Tetuán,Asiática
323,Pizzeria Nuns,40,3.5,0.9,40–50,Pizza,€,"Calle De José Calvo 6, 28039",Tetuán,Pizza
324,Badsha India Restaurant,200,4.4,2.4,40–50,India,€,"Calle De José Calvo 10, 28039",Chamberí,India
325,Comida de Pueblo,40,3.5,0.9,25–35,Gourmet,€€,"Calle Araucaria 19,  28039",Chamberí,Gourmet
326,Roost Chicken,123,4.6,0.4,25–35,Pollo,€,"C/ Marqués De Viana, 76 , 28039",Chamberí,Pollo
327,Papa John's,200,4.2,0.9,30–40,Pizza,€,"Calle Del Conde De Serrallo, 1, 28029",Chamberí,Pizza
328,Taberna Andaluza,25,4.4,1.4,35–45,Mediterránea,€,"Calle Del Conde De Peñalver, 13, 28006",Chamberí,Mediterránea
329,La Tagliatella,61,4.2,1.4,25–35,Pizza,€€,"C/ Orense, 11, 28020",Chamberí,Pizza
330,La Tagliatella,61,4.2,0.9,25–35,Pizza,€€,"C/ Galileo, 15 , 28015",Chamberí,Pizza
331,Papa John's,200,4.3,0.4,30–40,Pizza,€,"Calle De San Andrés, 26, 28004",Chamberí,Pizza
332,Roost Chicken,40,3.5,0.9,40–50,Pollo,€,"Calle De Toledo 27,  28012",Chamberí,Pollo
333,Fritz Foods,41,4.5,1.9,50–60,Pizza,€,"Calle Araucaria 19,  28039",Chamberí,Pizza
334,Roost Chicken,123,4.6,1.9,40–50,Pollo,€,"Calle De Raimundo Fernández Villaverde, 33, 28020",Chamberí,Pollo
335,Pizzería El Trébol 24h,18,4.4,0.9,35–45,Pizza,€,"Calle De Arriaza, 6, 28008",Chamberí,Pizza
336,El Imperio de la Empanada,40,3.5,1.4,55–65,Empanada,€,"Hilarion Eslava 42,  28015",Chamberí,Empanada
337,CONVEXO,69,4.6,0.9,35–45,Gourmet,€€€,"Calle De Galería De Vallehermoso 4, 28003",Chamberí,Gourmet
338,Real Fried Chicken,15,4.3,0.4,40–50,Pollo,€,"Calle De La Alianza 33, 28041",Chamberí,Pollo
339,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Av. De Brasil, 6, 28020",Chamberí,China
340,La Mordida,25,4.4,1.4,55–65,SouthAmerica,€,"Calle De Carranza 3,  28004",Chamberí,SouthAmerica
341,Tiendas 7x24,70,4.6,0.9,35–45,Tienda,€,"Calle De Bravo Murillo, 113, 28039",Chamberí,Tienda
342,Little Caesars Pizza,200,4.6,0.9,40–50,Pizza,€,"Calle Azabache, 6, 28019",Chamberí,Pizza
343,Super Dog,25,3.7,2.4,40–50,Hamburguesa,€,"Calle De Bravo Murillo 199,  28039",Chamberí,Hamburguesa
344,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle Andrés Mellado 43,  28015",Chamberí,Pollo
345,La Bruja del Vesuvio,15,3.5,0.9,35–45,Comida rápida,€,"Calle De Luchana 13,  28010",Chamberí,Comida rápida
346,Freedom Pizza,53,4.5,0.4,35–45,Pizza,€,"Calle De Huesca, 19, 28020",Chamberí,Pizza
347,La cabaña de cris,15,3.5,1.9,50–60,Mediterránea,€€€,"P.º De La Florida, 2, 28008",Chamberí,Pollo
348,KFC - Principe Pio,15,3.5,1.9,55–65,Pollo,€,"Calle De La Infanta Mercedes 17, 28020",Chamberí,Pollo
349,Toro Burger Lounge,23,4.1,1.4,55–65,Hamburguesa,€,"Travesía De La Parada 6,  28015",Chamberí,Hamburguesa
350,EL LATÓN GRIS,66,3.7,1.4,55–65,Pollo,€,"Calle De Francos Rodríguez, 42, 28039",Chamberí,Pollo
351,EL ASADOR,15,3.5,1.9,60–70,Carne,€€€,"Calle Castilla,4 , 28039",Chamberí,Carne
352,MANKA,52,4.9,1.4,40–50,Pizza,€,"Calle Del Cardenal Cisneros 1, 28010",Chamberí,Pizza
353,Graal,15,3.5,0.9,45–55,Kebab,€,"Av. De Brasil, 17, 28020",Chamberí,Kebab
354,Ala Sushi,15,3.5,0.9,40–50,Asiática,€€,"Calle De Sta Engracia, 108, 28003",Chamberí,Asiática
355,Home Burger Bar,181,4.1,2.4,40–50,Hamburguesa,€,"Calle De Luchana 3,  28010",Chamberí,Hamburguesa
356,Empanadas Malvón,32,4.8,0.4,30–40,Empanada,€,"Av. De Filipinas, 30, 28003",Chamberí,Empanada
357,Tiendas 7x24,62,4.5,0.4,25–35,Tienda,€,"Calle De Ayala 28,  28001",Chamberí,Tienda
358,SANABRIA,15,3.5,1.4,50–60,Mediterránea,€€€,"Calle Del Espíritu Santo 16, 28004",Chamberí,Mediterránea
359,MY Pasta Room,59,4.6,0.9,35–45,Pizza,€,"Calle De Manuel De Falla 5,  28036",Chamberí,Pizza
360,Limbo Player Two,15,3.5,1.9,50–60,Carne,€,"Calle De José Abascal 31, 28003",Chamberí,Carne
361,Junk Burger,31,4.3,1.9,50–60,Hamburguesa,€,"Calle De Bravo Murillo, 100, 28020",Chamberí,Hamburguesa
362,Popeyes,200,4.2,0.9,35–45,Pollo,€,"Calle De Bravo Murillo 122,  28020",Chamberí,Pollo
363,Arepish,53,4.6,0.9,40–50,SouthAmerica,€,"Calle De Cea Bermúdez 49, 28015",Chamberí,SouthAmerica
364,Cerveceria Riaño,15,3.5,0.9,30–40,Tienda,€,"Paseo De La Castellana 130, 28046",Chamberí,Tienda
365,Yakitoro,26,4.5,1.4,55–65,Asiática,€€€,"Calle De Tudescos, 4, 28004",Chamberí,Asiática
366,Super naan,15,3.5,1.4,60–70,India,€,"Calle Gran Vía, 16, 28004",Chamberí,India
367,Steak Burger,168,4.2,1.9,50–60,Hamburguesa,€,"Calle De San Bernardino, 20, 28015",Chamberí,Hamburguesa
368,MILA TOWN,15,3.5,0.9,35–45,Hamburguesa,€,"Calle De La Cruz, 20, Local 1, 28012",Chamberí,Hamburguesa
369,Galipan,23,4.2,1.9,70–80,India,€,"Calle Gran Vía 74, Local, 28015",Chamberí,India
370,Trek Taco,15,3.5,1.4,45–55,SouthAmerica,€,"Calle Del Dr Cortezo, 7, 28012",Chamberí,SouthAmerica
371,El Turkito,200,4.1,1.9,50–60,Asiática,€,"Calle Maldonado 07, 28006",Chamberí,Asiática
372,Artisan Burger,15,3.5,0.9,45–55,Hamburguesa,€,"Calle De Velázquez, 118, 28006",Chamberí,Hamburguesa
373,Makan Saj Manoushe,200,4.9,1.4,30–40,India,€€,"Calle De Azcona 36,  28028",Chamberí,India
374,Arepish,186,4.6,2.4,35–45,SouthAmerica,€,"Calle De Los Donados 2,  28013",Chamberí,SouthAmerica
375,Cor & Cor,15,3.5,1.4,55–65,Dulce,€,"Calle De Galileo, 75,  28015",Chamberí,Dulce
376,Tosty,15,3.5,0.4,40–50,Pollo,€,"Calle De San Germán, 64, 28020",Chamberí,Pollo
377,Fast chicken chain,15,3.5,1.9,45–55,Pollo,€,"Calle De José Calvo 6, 28039",Chamberí,Pollo
378,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle Bravo Murillo 108, 28020",Moncloa-Aravaca,India
379,Taco Bell,200,4.3,0.9,30–40,Hamburguesa,€,"Calle De Embajadores, 13, 28012",Moncloa-Aravaca,Hamburguesa
380,TUTTO PASTA!,26,2.8,2.6,40–60,Pizza,€,"Calle De José Calvo 10,  28039",Moncloa-Aravaca,Pizza
381,Comida de Pueblo,15,3.5,1.9,35–45,Gourmet,€€,"Calle De Isaac Peral, 4, 28015",Moncloa-Aravaca,Gourmet
382,Pizzart Luchana,15,3.5,0.4,35–45,Pizza,€,"Calle De Isaac Peral 4, 28015",Moncloa-Aravaca,Pizza
383,Taco Bell,200,4.1,2.4,35–45,Hamburguesa,€,"Hilarion Eslava 42,  28015",Moncloa-Aravaca,Hamburguesa
384,CONVEXO,69,4.6,2.9,35–45,Gourmet,€€€,"Calle De Bravo Murillo 199,  28039",Moncloa-Aravaca,Gourmet
385,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle De Bravo Murillo, 113, 28039",Moncloa-Aravaca,Pollo
386,Little Caesars Pizza,200,4.6,3.0,5–25,Pizza,€,"Calle De Francos Rodríguez, 42,  28039",Moncloa-Aravaca,Pizza
387,EL ASADOR,15,3.5,2.9,60–70,Carne,€€€,"Calle Castilla,4 ,28039",Moncloa-Aravaca,Carne
388,MANKA,52,4.9,2.9,55–65,Pizza,€,"Calle De Galería De Vallehermoso 4, 28003",Moncloa-Aravaca,Pizza
389,Real Fried Chicken,15,4.3,2.9,45–55,Pollo,€,"Calle De La Infanta Mercedes 17, 28020",Moncloa-Aravaca,Pollo
390,Toro Burger Lounge,23,4.1,2.9,60–70,Hamburguesa,€,"Calle De Huesca, 19, 28020",Moncloa-Aravaca,Hamburguesa
391,La cabaña de cris,15,3.5,3.4,55–65,Mediterránea,€€€,"Calle Andrés Mellado 43, 28015",Moncloa-Aravaca,Pollo
392,La Bruja del Vesuvio,15,3.5,2.9,45–55,Comida rápida,€,"Calle De Bravo Murillo 122,  28020",Moncloa-Aravaca,Comida rápida
393,Arepish,53,4.6,2.9,50–60,SouthAmerica,€,"Calle De Bravo Murillo, 100, 28020",Moncloa-Aravaca,SouthAmerica
394,Popeyes,200,4.2,2.9,40–50,Pollo,€,"Calle De Cea Bermúdez 49, 28015",Moncloa-Aravaca,Pollo
395,Cerveceria Riaño,15,3.5,2.9,40–50,Tienda,€,"Calle De San Germán, 64, 28020",Moncloa-Aravaca,Tienda
396,Fast chicken chain,15,3.5,2.9,50–60,Pollo,€,"Calle De Sta Engracia, 108, 28003",Moncloa-Aravaca,Pollo
397,Home Burger Bar,181,4.1,3.4,45–55,Hamburguesa,€,"Calle Hilarión Eslava, 38, 28015",Moncloa-Aravaca,Hamburguesa
398,Empanadas Malvón,21,4.7,2.4,30–40,Empanada,€,"Calle De Galileo, 75, 28015",Moncloa-Aravaca,Empanada
399,Tosty,15,3.5,2.9,45–55,Pollo,€,"Calle Ferraz 43,  28008",Moncloa-Aravaca,Pollo
400,Red Roo Australian Restaurant,15,3.5,2.9,45–55,Carne,€,"Calle De Lérida 58,  28020",Moncloa-Aravaca,Carne
401,Polloco Gourmet,26,3.5,3.0,30–50,Pollo,€,"Bravo Murillo, 120,  28020",Moncloa-Aravaca,Pollo
402,Pomodoro,87,3.8,2.9,50–60,Pizza,€,"Av. De Filipinas, 30, 28003",Moncloa-Aravaca,Pizza
403,Tiendas 7x24,62,4.5,2.9,30–40,Tienda,€,"Calle De Barceló 6, 318,  28004",Moncloa-Aravaca,Tienda
404,Mad Pollo,45,4.0,2.9,15–35,Pollo,€,"Calle De Raimundo Fernández Villaverde 33,  28020",Moncloa-Aravaca,Pollo
405,El trébol empanadas,16,4.5,2.9,45–55,Comida rápida,€,"Calle De San Andrés, 31, 28004",Moncloa-Aravaca,Comida rápida
406,Pic & Nic,200,4.4,3.4,55–65,SouthAmerica,€,"Paseo De S. Fco. De Sales, 3, 28003",Moncloa-Aravaca,SouthAmerica
407,Taste of America,26,3.5,2.4,35–45,Tienda,€€,"Calle De Bravo Murillo, 34, 28015",Moncloa-Aravaca,Hamburguesa
408,Astros,26,3.0,2.9,45–55,Comida rápida,€,"Calle De Guzmán El Bueno, 73, 28015",Moncloa-Aravaca,Comida rápida
409,Aloha Poke,200,4.7,2.9,25–35,Poke,€,"Calle De Fernández De Los Ríos, 98, 28015",Moncloa-Aravaca,Poke
410,Doner kebap efes,30,3.8,2.9,35–45,Kebab,€,"C. De La Princesa, 40, 28008",Moncloa-Aravaca,Kebab
411,Starbucks,63,4.3,3.4,35–45,Dulce,€,"Paseo De S. Fco. De Sales, 17, 28003",Moncloa-Aravaca,Dulce
412,Cherry Pecas,92,4.4,2.4,30–40,Comida rápida,€,"Calle De Vallehermoso, 42, 28015",Moncloa-Aravaca,Comida rápida
413,Basically Just Burrito Bowls,26,3.0,2.9,45–55,Comida rápida,€,"Calle Bravo Murillo 218,  28020",Moncloa-Aravaca,Comida rápida
414,Sultán kebab,19,3.0,2.9,35–45,Kebab,€,"Calle De Bravo Murillo, 215, 28020",Moncloa-Aravaca,Kebab
415,Great Kebab,26,3.0,2.9,40–50,Kebab,€,"Calle De Bravo Murillo 193, 28039",Moncloa-Aravaca,Kebab
416,"Real Estambul Pizza, Doner y Kebab",15,3.4,2.9,45–55,SouthAmerica,€,"Calle De José Calvo 10,  28039",Moncloa-Aravaca,SouthAmerica
417,Pops ´n Bops,26,3.0,2.4,50–60,China,€,"Calle Federico Sainz De Robles 3, 28035",Moncloa-Aravaca,China
418,Oriental Palace,167,4.4,2.9,45–55,Asiática,€€€,"Calle De Galileo 40,  28015",Moncloa-Aravaca,Asiática
419,Shawarma palace,15,3.5,2.4,50–60,Hamburguesa,€,"Plaza Del Descubridor Diego De Ordás, 4, 28003",Moncloa-Aravaca,Hamburguesa
420,Jimbo Smokehouse,68,4.7,2.9,45–55,Dulce,€,"Calle Jose Calvo 10,  28039",Moncloa-Aravaca,Dulce
421,Napoli Gang by Bel Mondo,26,3.0,2.4,50–60,Pizza,€,"Calle Rodríguez San Pedro 44,  28015",Moncloa-Aravaca,Pizza
422,Soda Bar,26,3.0,2.9,45–55,Comida rápida,€,"C. Del Dr. Ramón Castroviejo, 59, 28035",Moncloa-Aravaca,Comida rápida
423,Danny’s Jazz,11,4.7,2.4,50–60,Mediterránea,€,"Calle Del Aviador Zorita 32,  28020",Moncloa-Aravaca,Mediterránea
424,Ferreiro,26,3.0,3.4,35–45,Dulce,€,"Calle De Almansa 41,  28039",Moncloa-Aravaca,Dulce
425,TeKeS,78,4.8,2.4,30–40,SouthAmerica,€,"Calle De Cándido Mateos 21,  28035",Moncloa-Aravaca,SouthAmerica
426,Toropikaru Sushi,26,3.0,3.4,35–45,Pollo,€,"Calle Sorgo 53, Nave 2,  28029",Moncloa-Aravaca,Pollo
427,NUBO Rolls,15,4.3,3.4,35–45,Comida rápida,€,"Calle De Santa Engracia 108,  28003",Moncloa-Aravaca,Comida rápida
428,DITALY,26,3.0,2.4,30–40,Empanada,€,"Calle De Fernández De Los Ríos 85,  28015",Moncloa-Aravaca,Empanada
429,Empanadas BAIRES,26,3.0,3.4,35–45,Empanada,€,"Calle De Ofelia Nieto, 42, 28039",Moncloa-Aravaca,Empanada
430,Massburg,194,4.4,2.4,30–40,Hamburguesa,€,"Zabaleta 1,  28002",Moncloa-Aravaca,Hamburguesa
431,Nola Smoke,199,4.2,1.0,15–35,Comida rápida,€,"Calle De José Calvo 6, 28039",Moncloa-Aravaca,Comida rápida
432,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De José Calvo 10, 28039",Carabanchel,India
433,Comida de Pueblo,26,3.0,2.4,35–45,Gourmet,€€,"Avenida De La Reina Victoria 68, 28040",Carabanchel,Gourmet
434,Papa John's,200,4.4,1.9,35–45,Pizza,€,"Calle Araucaria 19,  28039",Carabanchel,Pizza
