,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio
245,Flame,40,2.9,2.40,45–55,Hamburguesas,€,"Intercambiador De Plaza De Castilla, 28046",Chamartín
246,Busburguer,98,4.5,1.40,30–40,Hamburguesas,€,"Calle De Lérida 58,  28020",Chamartín
247,Polloco Gourmet,40,2.9,3.00,30–50,Pollo,€,"Calle De Maldonado, 51, 28006",Chamartín
248,Tiendas 7x24,140,4.8,2.90,30–40,Opciones para alergias,€,"Calle Maldonado 07, 28006",Chamartín
249,Artisan Burger,40,2.9,2.40,45–55,Hamburguesas,€,"Bravo Murillo, 120,  28020",Chamartín
250,Pomodoro,87,3.8,2.40,55–65,Italiana,€,"Calle De José Abascal 31, 28003",Chamartín
251,Junk Burger,31,4.3,2.40,50–60,Hamburguesas,€,"Calle De María De Molina, 16, 28006",Chamartín
252,Aloha Poke,163,4.5,2.40,40–50,Poke,€,"Calle De Barceló 6, 318,  28004",Chamartín
253,Mad Pollo,45,4.0,2.40,15–35,Pollo,€,"Calle Zabaleta 1,  28002",Chamartín
254,CHUCK CHUCK CHICKEN,40,2.9,1.90,40–50,Pollo,€,"Calle De Arturo Soria, 189, 28043",Chamartín
255,Pasteleria Saul,27,4.2,1.90,25–35,Everyday Essentials,€,"Calle Bravo Murillo, 229, 28020",Chamartín
256,Galp,19,4.3,1.90,45–55,Tienda,€,"Calle Del Cactus, 42 ,  28039",Chamartín
257,Chili House🌶,40,2.9,1.90,45–55,Mexicana,€,"Calle De Méjico, 20,  28028",Chamartín
258,Restaurante Chino Diamante,100,4.0,2.40,30–40,China,€,"Plaza Sagrado Corazón De Jesús, 2, 28002",Chamartín
259,Foster's Hollywood,65,4.2,1.40,30–40,Americana,€,"Calle Del Príncipe De Vergara 258,  28016",Chamartín
260,Empanadas BAIRES,40,2.9,0.90,25–35,Empanada,€,"Calle Zabaleta 1,  28002",Chamartín
261,Golat Helados,40,2.9,1.90,35–45,Postres,€,"Calle De San Andrés, 31, 28004",Chamartín
262,Pic & Nic,200,4.4,3.40,60–70,Mediterránea,€€€,"Calle Zabaleta 1,  28002",Chamartín
263,Frambons,40,2.9,1.90,35–45,Empanada,€,"Calle De Raimundo Fernández Villaverde 33,  28020",Chamartín
264,Empanadas BAIRES,13,4.0,2.40,55–65,Empanada,€,"Calle De Cartagena, 131, 28002",Chamartín
265,Doner kebap efes,23,4.7,1.90,25–35,Kebab,€€€,"Calle De López De Hoyos 11,  28006",Chamartín
266,Crepes & Waffles,19,4.5,2.40,45–55,Postres,€€€,"Calle De López De Hoyos, 139, 28002",Chamartín
267,Doner kebap efes,30,4.6,1.90,30–40,Kebab,€,"Calle Bravo Murillo 218,  28020",Chamartín
268,Sultán kebab,19,3.0,1.90,30–40,Árabe,€€,"Calle De Bravo Murillo, 215, 28020",Chamartín
269,Great Kebab,40,2.9,1.90,40–50,Kebab,€,"Calle De José Calvo 6,  28039",Chamartín
270,Badsha India Restaurant,200,4.4,1.00,15–35,India,€,"Calle De Embajadores, 28012",Tetuán
271,TUTTO PASTA!,26,2.8,2.60,40–60,Española,€,"Calle De José Calvo 10, 28039",Tetuán
272,Comida de Pueblo,40,3.5,2.40,40–50,Gourmet,€,"C/ Orense, 11, 28020",Tetuán
273,La Tagliatella,61,4.2,1.90,25–35,Pizza,€€€,"C/ Orense, 11, 28020",Tetuán
274,La Cuchara,40,3.5,2.90,40–50,Gourmet,€,"C/ Orense, 11, 28020",Tetuán
275,La Tagliatella,61,3.8,1.40,25–35,Pizza,€,"Paseo De La Castellana 191, 28046",Tetuán
276,Taco Bell,200,4.1,1.40,20–30,Hamburguesas,€,"Calle De Bravo Murillo 250,  28020",Tetuán
277,Empanadas Malvón,25,4.7,0.40,25–35,Empanada,€,"Av. De Brasil, 6, 28020",Tetuán
278,La Mordida,25,4.4,0.90,45–55,Mediterránea,€,"Calle De Bravo Murillo, 206, 28020",Tetuán
279,Express 88,60,4.6,0.90,30–40,De Latinoamérica,€€€,"Calle De Huesca, 19, Bajo, 28020",Tetuán
280,La cabaña de cris,40,3.5,0.90,35–45,Pollo,€€€,"Calle De Bravo Murillo 199,  28039",Tetuán
281,Pollos al Carbón,21,3.6,5.00,15–35,Pollo,€,"Calle De La Infanta Mercedes 17, 28020",Tetuán
282,Toro Burger Lounge,23,4.1,0.90,50–60,Empanada,€,"Calle De Raimundo Fernández Villaverde, 33, 28020",Tetuán
283,Pizzería El Trébol 24h,18,4.4,1.40,35–45,Pizza,€€,"Av. De Brasil, 17, 28020",Tetuán
284,Ala Sushi,40,3.5,0.90,30–40,Sushi,€,"Calle Castilla,4 , 28039",Tetuán
285,MANKA,52,4.9,0.90,40–50,Pizza,€€€,"Calle De Bravo Murillo, 113, 28039",Tetuán
286,Little Caesars Pizza,200,4.6,3.00,15–25 ,Pizza,€,"Calle De Francos Rodríguez, 42, 28039",Tetuán
287,EL ASADOR,40,3.5,0.90,55–65,Carne,€,"Calle De Manuel De Falla 5,  28036",Tetuán
288,Limbo Player Two,40,3.5,1.40,45–55,Carne,€,"Castellana, 123, 28046",Tetuán
289,Popeyes,200,4.0,0.90,25–35,Pollo,€,"Calle De San Germán, 64, 28020",Tetuán
290,Fast chicken chain,40,3.5,0.90,35–45,Pollo,€,"Paseo De La Castellana 130, 28046",Tetuán
291,Yakitoro,26,4.5,1.40,55–65,Comida reconfortante,€,"Calle Del Príncipe De Vergara, 210, 28002",Tetuán
292,Home Burger Bar,198,4.1,1.90,35–45,Hamburguesas,€€,"Calle De Bravo Murillo 122, 28020",Tetuán
293,Arepish,53,4.6,1.40,40–50,Venezolana,€,"C.C. La Vaguada, Av. De Monforte De Lemos, 32, 28029",Tetuán
294,TGB,66,4.1,2.40,50–60,Hamburguesas,€,"Calle De Galería De Vallehermoso 4, 28003",Tetuán
295,Real Fried Chicken,15,4.3,2.40,50–60,Alitas de pollo,€,"Avenida De Monforte De Lemos 36, 28029",Tetuán
296,Pollo Criollo,40,3.5,2.40,55–65,Pollo,€,"Calle De Lérida 58,  28020",Tetuán
297,Polloco Gourmet,40,3.5,3.00,30–50,Pollo,€,"Paseo De La Castellana, 210, 28036",Tetuán
298,Taberna del Volapié,40,3.5,1.40,40–50,Tapas,€,"Calle De Cea Bermúdez 49, 28015",Tetuán
299,Cerveceria Riaño,40,3.5,2.90,40–50,Cerveza,€,"Calle Bravo Murillo, 229, 28020",Tetuán
300,Galp,19,4.3,0.90,35–45,Tienda,€,"Calle De Bravo Murillo, 274, 28020",Tetuán
301,McDonald's,200,4.2,0.40,20–30,Hamburguesas,€,"Intercambiador De Plaza De Castilla, 28046 ",Tetuán
302,Busburguer,98,4.5,1.40,25–35,Hamburguesas,€,"Calle De José Abascal 31, 28003",Tetuán
303,Junk Burger,31,4.3,1.90,45–55,Hamburguesas,€,"Calle Del Cactus 42,  28039",Tetuán
304,Chili House🌶,40,3.5,0.90,35–45,Mexicana,€,"Bravo Murillo, 120,  28020",Tetuán
305,Pomodoro,87,3.8,1.40,40–50,Italiana,€,"Calle De Galileo, 75, 28015",Tetuán
306,Tosty,40,3.5,2.40,50–60,Family Meals,€,"Calle De Barceló 6,  28004",Tetuán
307,Mad Pollo,45,4.0,1.40,15–35,Pollo,€,"Calle De María De Molina, 16, 28006",Tetuán
308,Aloha Poke,163,4.5,2.40,40–50,Poke,€,"Calle De San Andrés, 31, 28004",Tetuán
309,Pic & Nic,200,4.4,2.90,55–65,Mediterránea,€€,"Plaza Sagrado Corazón De Jesús, 2, 28002",Tetuán
310,Foster's Hollywood,65,4.2,2.40,35–45,Americana,€€,"Paseo De S. Fco. De Sales, 3, 28003 ",Tetuán
311,Taste of America,40,3.5,2.40,35–45,Americana,€,"Calle De Raimundo Fernández Villaverde 33,  28020",Tetuán
312,Empanadas BAIRES,13,4.0,1.40,45–55,Empanada,€,"Calle Bravo Murillo 218,  28020",Tetuán
313,Sultán kebab,19,3.0,0.90,25–35,Árabe,€€,"Calle De Bravo Murillo, 34, 28015",Tetuán
314,Astros,40,3.5,2.40,45–55,Family Meals,€,"Calle Del Príncipe De Vergara 258,  28016",Tetuán
315,Empanadas BAIRES,40,3.5,1.90,35–45,Empanada,€,"Paseo De S. Fco. De Sales, 17, 28003",Tetuán
316,Cherry Pecas,92,4.4,2.40,30–40,Comida rápida,€,"Calle De José Calvo 10,  28039",Tetuán
317,Pops ´n Bops,40,3.5,0.90,45–55,Árabe,€€,"Calle De Bravo Murillo, 215, 28020",Tetuán
318,Great Kebab,40,3.5,0.90,35–45,Kebab,€,"Calle De Bravo Murillo 193, 28039",Tetuán
319,"Real Estambul Pizza, Doner y Kebab",15,3.4,0.90,40–50,Mediterránea,€,"Cc La Vaguada Av Monforte De Lemos 36,  28029",Tetuán
320,Willy Factory,40,3.5,2.40,40–50,Opciones para alergias,€,"Av. De Betanzos, 31, 28029 ",Tetuán
321,Kebab Rico Rico,44,4.4,0.90,40–50,Kebab,€,"Calle Federico Sainz De Robles 3, 28035",Tetuán
322,Oriental Palace,167,4.4,2.40,40–50,Asiatica,€,"Calle De La Infanta Mercedes, 103, 28020",Tetuán
323,Pizzeria Nuns,40,3.5,0.90,40–50,Pizza,€,"Calle De José Calvo 6, 28039",Tetuán
324,Badsha India Restaurant,200,4.4,2.40,40–50,India,€,"Calle De José Calvo 10, 28039",Chamberí
325,Comida de Pueblo,40,3.5,0.90,25–35,Gourmet,€,"Calle Araucaria 19,  28039",Chamberí
326,Roost Chicken,123,4.6,0.40,25–35,Pollo,€,"C/ Marqués De Viana, 76 , 28039",Chamberí
327,Papa John's,200,4.2,0.90,30–40,Pizza,€,"Calle Del Conde De Serrallo, 1, 28029",Chamberí
328,Taberna Andaluza,25,4.4,1.40,35–45,Tapas,€,"Calle Del Conde De Peñalver, 13, 28006",Chamberí
329,La Tagliatella,61,4.2,1.40,25–35,Pizza,€,"C/ Orense, 11, 28020",Chamberí
330,La Tagliatella,61,4.2,0.90,25–35,Pizza,€,"C/ Galileo, 15 , 28015",Chamberí
331,Papa John's,200,4.3,0.40,30–40,Pizza,€,"Calle De San Andrés, 26, 28004",Chamberí
332,Roost Chicken,40,3.5,0.90,40–50,Pollo,€,"Calle De Toledo 27,  28012",Chamberí
333,Fritz Foods,41,4.5,1.90,50–60,Pizza,€,"Calle Araucaria 19,  28039",Chamberí
334,Roost Chicken,123,4.6,1.90,40–50,Pollo,€,"Calle De Raimundo Fernández Villaverde, 33, 28020",Chamberí
335,Pizzería El Trébol 24h,18,4.4,0.90,35–45,Pizza,€,"Calle De Arriaza, 6, 28008",Chamberí
336,El Imperio de la Empanada,40,3.5,1.40,55–65,Empanada,€,"Hilarion Eslava 42,  28015",Chamberí
337,CONVEXO,69,4.6,0.90,35–45,Pollo,€,"Calle De Galería De Vallehermoso 4, 28003",Chamberí
338,Real Fried Chicken,15,4.3,0.40,40–50,Alitas de pollo,€€,"Calle De La Alianza 33, 28041",Chamberí
339,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Av. De Brasil, 6, 28020",Chamberí
340,La Mordida,25,4.4,1.40,55–65,Mediterránea,€,"Calle De Carranza 3,  28004",Chamberí
341,Tiendas 7x24,70,4.6,0.90,35–45,Pizza,€€,"Calle De Bravo Murillo, 113, 28039",Chamberí
342,Little Caesars Pizza,200,4.6,0.90,40–50,Pizza,€€€,"Calle Azabache, 6, 28019",Chamberí
343,Super Dog,25,3.7,2.40,40–50,Hamburguesas,€€€,"Calle De Bravo Murillo 199,  28039",Chamberí
344,Pollos al Carbón,21,3.6,5.00,15–35,Pollo,€,"Calle Andrés Mellado 43,  28015",Chamberí
345,La Bruja del Vesuvio,15,3.5,0.90,35–45,Comida rápida,€,"Calle De Luchana 13,  28010",Chamberí
346,Freedom Pizza,53,4.5,0.40,35–45,Pizza,€€,"Calle De Huesca, 19, 28020",Chamberí
347,La cabaña de cris,15,3.5,1.90,50–60,Pollo,€,"P.º De La Florida, 2, 28008",Chamberí
348,KFC - Principe Pio,15,3.5,1.90,55–65,Pollo,€,"Calle De La Infanta Mercedes 17, 28020",Chamberí
349,Toro Burger Lounge,23,4.1,1.40,55–65,Hamburguesas,€,"Travesía De La Parada 6,  28015",Chamberí
350,EL LATÓN GRIS,66,3.7,1.40,55–65,Pollo,€,"Calle De Francos Rodríguez, 42, 28039",Chamberí
351,EL ASADOR,15,3.5,1.90,60–70,Carne,€,"Calle Castilla,4 , 28039",Chamberí
352,MANKA,52,4.9,1.40,40–50,Pizza,€,"Calle Del Cardenal Cisneros 1, 28010",Chamberí
353,Graal,15,3.5,0.90,45–55,Ramen,€€,"Av. De Brasil, 17, 28020",Chamberí
354,Ala Sushi,15,3.5,0.90,40–50,Sushi,€,"Calle De Sta Engracia, 108, 28003",Chamberí
355,Home Burger Bar,181,4.1,2.40,40–50,Hamburguesas,€,"Calle De Luchana 3,  28010",Chamberí
356,Empanadas Malvón,32,4.8,0.40,30–40,Empanada,€,"Av. De Filipinas, 30, 28003",Chamberí
357,Tiendas 7x24,62,4.5,0.40,25–35,Queso,€,"Calle De Ayala 28,  28001",Chamberí
358,SANABRIA,15,3.5,1.40,50–60,Tapas y raciones,€,"Calle Del Espíritu Santo 16, 28004",Chamberí
359,MY Pasta Room,59,4.6,0.90,35–45,Italiana,€,"Calle De Manuel De Falla 5,  28036",Chamberí
360,Limbo Player Two,15,3.5,1.90,50–60,Carne,€,"Calle De José Abascal 31, 28003",Chamberí
361,Junk Burger,31,4.3,1.90,50–60,Hamburguesas,€,"Calle De Bravo Murillo, 100, 28020",Chamberí
362,Popeyes,200,4.2,0.90,35–45,Pollo,€€,"Calle De Bravo Murillo 122,  28020",Chamberí
363,Arepish,53,4.6,0.90,40–50,Venezolana,€,"Calle De Cea Bermúdez 49, 28015",Chamberí
364,Cerveceria Riaño,15,3.5,0.90,30–40,Cerveza,€,"Paseo De La Castellana 130, 28046",Chamberí
365,Yakitoro,26,4.5,1.40,55–65,Con opciones veganas,€,"Calle De Tudescos, 4, 28004",Chamberí
366,Super naan,15,3.5,1.40,60–70,India,€,"Calle Gran Vía, 16, 28004",Chamberí
367,Steak Burger,168,4.2,1.90,50–60,Americana,€,"Calle De San Bernardino, 20, 28015",Chamberí
368,MILA TOWN,15,3.5,0.90,35–45,Americana,€,"Calle De La Cruz, 20, Local 1, 28012",Chamberí
369,Galipan,23,4.2,1.90,70–80,Halal,€,"Calle Gran Vía 74, Local, 28015",Chamberí
370,Trek Taco,15,3.5,1.40,45–55,Halal,€,"Calle Del Dr Cortezo, 7, 28012",Chamberí
371,El Turkito,200,4.1,1.90,50–60,Asiatica,€,"Calle Maldonado 07, 28006",Chamberí
372,Artisan Burger,15,3.5,0.90,45–55,Hamburguesas,€,"Calle De Velázquez, 118, 28006",Chamberí
373,Makan Saj Manoushe,200,4.9,1.40,30–40,India,€€,"Calle De Azcona 36,  28028",Chamberí
374,Arepish,186,4.6,2.40,35–45,Venezolana,€€€,"Calle De Los Donados 2,  28013",Chamberí
375,Cor & Cor,15,3.5,1.40,55–65,Postres,€,"Calle De Galileo, 75,  28015",Chamberí
376,Tosty,15,3.5,0.40,40–50,Pollo,€,"Calle De San Germán, 64, 28020",Chamberí
377,Fast chicken chain,15,3.5,1.90,45–55,Pollo,€,"Calle De José Calvo 6, 28039",Chamberí
378,Badsha India Restaurant,200,4.4,1.00,15–35,India,€,"Calle Bravo Murillo 108, 28020",Moncloa-Aravaca
379,Taco Bell,200,4.3,0.90,30–40,Hamburguesas,€,"Calle De Embajadores, 13, 28012",Moncloa-Aravaca
380,TUTTO PASTA!,26,2.8,2.60,40–60,Española,€,"Calle De José Calvo 10,  28039",Moncloa-Aravaca
381,Comida de Pueblo,15,3.5,1.90,35–45,Gourmet,€,"Calle De Isaac Peral, 4, 28015",Moncloa-Aravaca
382,Pizzart Luchana,15,3.5,0.40,35–45,Pizza,€,"Calle De Isaac Peral 4, 28015",Moncloa-Aravaca
383,Taco Bell,200,4.1,2.40,35–45,Hamburguesas,€,"Hilarion Eslava 42,  28015",Moncloa-Aravaca
384,CONVEXO,69,4.6,2.90,35–45,Pollo,€€€,"Calle De Bravo Murillo 199,  28039",Moncloa-Aravaca
385,Pollos al Carbón,21,3.6,5.00,15–35,Pollo,€€,"Calle De Bravo Murillo, 113, 28039",Moncloa-Aravaca
386,Little Caesars Pizza,200,4.6,3.00,5–25 ,Pizza,€,"Calle De Francos Rodríguez, 42,  28039",Moncloa-Aravaca
387,EL ASADOR,15,3.5,2.90,60–70,Carne,€,"Calle Castilla,4 ,28039",Moncloa-Aravaca
388,MANKA,52,4.9,2.90,55–65,Pizza,€,"Calle De Galería De Vallehermoso 4, 28003",Moncloa-Aravaca
389,Real Fried Chicken,15,4.3,2.90,45–55,Alitas de pollo,€,"Calle De La Infanta Mercedes 17, 28020",Moncloa-Aravaca
390,Toro Burger Lounge,23,4.1,2.90,60–70,De Latinoamérica,€€,"Calle De Huesca, 19, 28020",Moncloa-Aravaca
391,La cabaña de cris,15,3.5,3.40,55–65,Pollo,€,"Calle Andrés Mellado 43, 28015",Moncloa-Aravaca
392,La Bruja del Vesuvio,15,3.5,2.90,45–55,Comida rápida,€€,"Calle De Bravo Murillo 122,  28020",Moncloa-Aravaca
393,Arepish,53,4.6,2.90,50–60,Venezolana,€,"Calle De Bravo Murillo, 100, 28020",Moncloa-Aravaca
394,Popeyes,200,4.2,2.90,40–50,Pollo,€,"Calle De Cea Bermúdez 49, 28015",Moncloa-Aravaca
395,Cerveceria Riaño,15,3.5,2.90,40–50,Cerveza,€,"Calle De San Germán, 64, 28020",Moncloa-Aravaca
396,Fast chicken chain,15,3.5,2.90,50–60,Pollo,€,"Calle De Sta Engracia, 108, 28003",Moncloa-Aravaca
397,Home Burger Bar,181,4.1,3.40,45–55,Hamburguesas,€,"Calle Hilarión Eslava, 38, 28015",Moncloa-Aravaca
398,Empanadas Malvón,21,4.7,2.40,30–40,Empanada,€,"Calle De Galileo, 75, 28015",Moncloa-Aravaca
399,Tosty,15,3.5,2.90,45–55,Opciones para alergias,€,"Calle Ferraz 43,  28008",Moncloa-Aravaca
400,Red Roo Australian Restaurant,15,3.5,2.90,45–55,Opciones para alergias,€,"Calle De Lérida 58,  28020",Moncloa-Aravaca
401,Polloco Gourmet,26,3.5,3.00,30–50,Pollo,€,"Bravo Murillo, 120,  28020",Moncloa-Aravaca
402,Pomodoro,87,3.8,2.90,50–60,Italiana,€,"Av. De Filipinas, 30, 28003",Moncloa-Aravaca
403,Tiendas 7x24,62,4.5,2.90,30–40,Family Meals,€,"Calle De Barceló 6, 318,  28004",Moncloa-Aravaca
404,Mad Pollo,45,4.0,2.90,15–35,Pollo,€,"Calle De Raimundo Fernández Villaverde 33,  28020",Moncloa-Aravaca
405,El trébol empanadas,16,4.5,2.90,45–55,Comida rápida,€,"Calle De San Andrés, 31, 28004",Moncloa-Aravaca
406,Pic & Nic,200,4.4,3.40,55–65,Mediterránea,€€,"Paseo De S. Fco. De Sales, 3, 28003",Moncloa-Aravaca
407,Taste of America,26,3.5,2.40,35–45,Americana,€€,"Calle De Bravo Murillo, 34, 28015",Moncloa-Aravaca
408,Astros,26,3,2.90,45–55,Family Meals,€,"Calle De Guzmán El Bueno, 73, 28015",Moncloa-Aravaca
409,Aloha Poke,200,4.7,2.90,25–35,Poke,€,"Calle De Fernández De Los Ríos, 98, 28015",Moncloa-Aravaca
410,Doner kebap efes,30,3.8,2.90,35–45,Kebab,€,"C. De La Princesa, 40, 28008",Moncloa-Aravaca
411,Starbucks,63,4.3,3.40,35–45,Cafe,€,"Paseo De S. Fco. De Sales, 17, 28003",Moncloa-Aravaca
412,Cherry Pecas,92,4.4,2.40,30–40,Comida rápida,€,"Calle De Vallehermoso, 42, 28015",Moncloa-Aravaca
413,Basically Just Burrito Bowls,26,3,2.90,45–55,Bar Food,€,"Calle Bravo Murillo 218,  28020",Moncloa-Aravaca
414,Sultán kebab,19,3.0,2.90,35–45,Árabe,€€,"Calle De Bravo Murillo, 215, 28020",Moncloa-Aravaca
415,Great Kebab,26,3,2.90,40–50,Kebab,€,"Calle De Bravo Murillo 193, 28039",Moncloa-Aravaca
416,"Real Estambul Pizza, Doner y Kebab",15,3.4,2.90,45–55,Mediterránea,€,"Calle De José Calvo 10,  28039",Moncloa-Aravaca
417,Pops ´n Bops,26,3,2.40,50–60,China,€,"Calle Federico Sainz De Robles 3, 28035",Moncloa-Aravaca
418,Oriental Palace,167,4.4,2.90,45–55,Asiatica,€,"Calle De Galileo 40,  28015",Moncloa-Aravaca
419,Shawarma palace,15,3.5,2.40,50–60,Americana,€,"Plaza Del Descubridor Diego De Ordás, 4, 28003",Moncloa-Aravaca
420,Jimbo Smokehouse,68,4.7,2.90,45–55,Napolitana,€,"Calle Jose Calvo 10,  28039",Moncloa-Aravaca
421,Napoli Gang by Bel Mondo,26,3,2.40,50–60,Pizza,€,"Calle Rodríguez San Pedro 44,  28015",Moncloa-Aravaca
422,Soda Bar,26,3,2.90,45–55,Comida rápida,€,"C. Del Dr. Ramón Castroviejo, 59, 28035",Moncloa-Aravaca
423,Danny’s Jazz,11,4.7,2.40,50–60,Española,€,"Calle Del Aviador Zorita 32,  28020",Moncloa-Aravaca
424,Ferreiro,26,3,3.40,35–45,Postres,€,"Calle De Almansa 41,  28039",Moncloa-Aravaca
425,TeKeS,78,4.8,2.40,30–40,Opciones para alergias,€€€,"Calle De Cándido Mateos 21,  28035",Moncloa-Aravaca
426,Toropikaru Sushi,26,3,3.40,35–45,Comfort Food,€,"Calle Sorgo 53, Nave 2,  28029",Moncloa-Aravaca
427,NUBO Rolls,15,4.3,3.40,35–45,Comida rápida,€,"Calle De Santa Engracia 108,  28003",Moncloa-Aravaca
428,DITALY,26,3,2.40,30–40,Empanada,€,"Calle De Fernández De Los Ríos 85,  28015",Moncloa-Aravaca
429,Empanadas BAIRES,26,3,3.40,35–45,Empanada,€,"Calle De Ofelia Nieto, 42, 28039",Moncloa-Aravaca
430,Massburg,194,4.4,2.40,30–40,Opciones para alergias,€,"Zabaleta 1,  28002",Moncloa-Aravaca
431,Nola Smoke,199,4.2,1.00,15–35,Comida rápida,€,"Calle De José Calvo 6, 28039",Moncloa-Aravaca
432,Badsha India Restaurant,200,4.4,1.00,15–35,India,€,"Calle De José Calvo 10, 28039",Carabanchel
433,Comida de Pueblo,26,3,2.40,35–45,Gourmet,€,"Avenida De La Reina Victoria 68, 28040",Carabanchel
434,Papa John's,200,4.4,1.90,35–45,Pizza,€,"Calle Araucaria 19,  28039",Carabanchel
435,Roost Chicken,123,4.6,2.90,40–50,Pollo,€,"Calle De Isaac Peral 4, 28015",Carabanchel
436,McDonald's,200,4.4,2.90,30–40,Hamburguesas,€,"Calle De Isaac Peral 4, 28015",Carabanchel
437,Taco Bell,200,4.1,2.40,35–45,Hamburguesas,€,"Hilarion Eslava 42,  28015",Carabanchel
438,CONVEXO,69,4.6,2.90,35–45,Pollo,€€€,"Calle De Bravo Murillo 199,  28039",Carabanchel
439,Pollos al Carbón,21,3.6,5.00,15–35,Pollo,€€,"Calle De Bravo Murillo, 113, 28039",Carabanchel
440,Little Caesars Pizza,200,4.6,3.00,5–25 ,Pizza,€,"Calle De Francos Rodríguez, 42, 28039",Carabanchel
453,McDonald's,200,4.3,1.90,15–25,Hamburguesas,€,"Paseo De Santa María De La Cabeza, 86, 28045",Carabanchel
454,Beiben,14,4.2,2.40,30–40,Tapas,€,"Calle De Mira El Sol 23, 28005",Carabanchel
455,La Cochinita Loca,19,4.3,2.40,45–55,Colombiana,€,"Calle De Guetaria 72,  28041",Carabanchel
456,Pasta con todo 🍝,26,3,2.40,45–55,Italiana,€,"Calle Fragata, 11,  28019",Carabanchel
457,Latin kebab,25,4.0,1.40,30–40,Kebab,€,"Calle Arechavaleta 6,  28041",Carabanchel
458,Pura Italia,109,3.2,1.90,35–55,Italiana,€,"Calle De Antonio López 109,  28026",Carabanchel
459,Pollo Criollo,26,3,2.40,50–60,Pollo,€,"Calle De Juan Pascual De Mena 7, 28011",Carabanchel
460,Maha Kebab,11,4.3,2.40,20–30,Kebab,€,"Plaza De La Cebada, 10, 28005",Carabanchel
461,Taberna La Buha,24,4.2,2.40,60–70,Tapas,€,"Calle Mirasierra, 37, 28026",Carabanchel
462,Pizza Mirasierra,17,4.2,2.40,30–40,Pizza,€,"Calle De San Andrés, 31, 28004",Carabanchel
463,Pic & Nic,200,4.4,3.90,60–70,Mediterránea,€,"Calle De Marcelo Usera 135,  28026",Carabanchel
464,Pizz-a-porter,26,3,1.90,30–40,Pizza,€,"Calle De Don Pedro 11, 28005",Carabanchel
465,Tabaxo - Don Pedro,26,3,2.40,50–60,Sándwich,€,"Paseo De Los Pontones, 24, 28005",Carabanchel
466,Taberna Piedra Pinta,26,3,1.90,45–55,Halal,€,"Calle Vía Carpetana, 226, 28047",Carabanchel
467,Dinos Bar Kebab,26,3,2.50,40–60,Kebab,€,"Av. Oporto, 89, 28025",Carabanchel
468,Gran Oporto Kebab,29,3.7,1.40,25–35,Kebab,€,"Glorieta De Embajadores 4, 28012",Carabanchel
469,GALAXY KEBAB,17,4.5,2.90,30–40,Kebab,€,"Calle Vía Carpetana 81,  28047",Carabanchel
470,Bar y Kebab La Parada,23,3,1.40,15–25,Kebab,€,"Calle De Embajadores, 28, 28012",Carabanchel
471,Éccolo,28,4.2,2.40,50–60,Tapas y raciones,€,"Calle De La Ruda, 5, 28005",Carabanchel
472,Malacatin,19,4.9,1.90,45–55,Pizza,€,"Calle De Melilla, 47, 28005",Carabanchel
473,Le Crust,25,4.4,2.50,40–60,Hamburguesas,€,"Paseo De Los Melancólicos 7,  28005",Carabanchel
474,Toro Burger Lounge,27,4.1,1.40,25–35,Comida reconfortante,€,"Plaza De Cascorro, 16,  28005",Carabanchel
475,Cor & Cor,11,4.3,2.90,30–40,Postres,€,"Calle Campo De La Paloma 32,  28018",Carabanchel
476,Arepa Mix,38,3.9,1.40,15–25,Venezolana,€€,"Calle De Ferroviarios 98,  28026",Carabanchel
477,Bocadillos Ole,23,3,2.40,60–70,Bocadillo,€,"Calle De Dolores Barranco, 88, 28026",Carabanchel
478,IGo Pasta,89,4.5,2.40,30–40,Italiana,€,"Calle De Santa Isabel, 5, 28012",Carabanchel
479,Yokaloka,23,3.6,3.90,60–70,Comfort Food,€,"Calle De Jaime Vera 12,  28011",Carabanchel
480,Burger Las Vegas,23,3.6,1.90,30–40,Hamburguesas,€€,"Calle De Antonio López 109,  28026",Carabanchel
481,Alice Pizza,23,3.6,2.40,50–60,Pizza,€,"Calle De Cáceres 5, 28045",Carabanchel
482,Herbívoro,23,3.6,1.90,45–55,Parrilla,€,"Paseo De Los Melancolicos 7,  28005",Carabanchel
483,La Manousheria,23,3.6,2.50,40–60,Postres,€,"Calle De Los Yébenes 150,  28047",Carabanchel
484,Popizza,23,3.6,0.90,30–40,Pollo,€,"Calle De Marcelo Usera 12,  28026",Carabanchel
485,"Asador de pollos ""LA WISLLA""",23,3.6,2.50,40–60,Carne,€,"C/ General Ricardos, 159 , 28025",Carabanchel
486,Papa John's,200,4.3,0.90,30–40,Pizza,€,"Calle De Embajadores, 14 ,  28012",Usera
487,TUTTO PASTA!,26,2.8,2.50,40–60,Comida rápida,€,"Calle De Matilde Hernández 90, 28025",Usera
488,Restaurante Sabor K-Tracho,23,3.6,1.40,35–45,Alcohol,€,"Calle Del Gral. Ricardos, 92,  28019",Usera
489,Autoservicio,77,4.8,0.90,15–25,Tienda,€,"Av. Del Manzanares, 210, 28026",Usera
490,Little Caesars Pizza,200,4.6,1.40,40–50,Pizza,€,"Calle De Cáceres 1,  28045",Usera
491,Comida china yonghe,50,4.3,2.40,40–50,China,€€€,"Calle De La Alianza 33,  28041",Usera
