,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,lat,lon
342,Sultán kebab,19,3.0,1.9,30–40,Árabe,€€,"Calle De Bravo Murillo, 215,  Madrid",Chamartín,4.045.761,-370.118
343,Great Kebab,40,2.9,1.9,40–50,Kebab,€,"Calle De José Calvo 6,   Madrid",Chamartín,4.045.883,-370.845
344,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores,  Madrid",Tetuán,4.040.069,-369.925
346,TUTTO PASTA!,26,2.8,2.6,40–60,Española,€,"Calle De José Calvo 10,  Madrid",Tetuán,4.045.883,-370.845
347,La Tagliatella,61,3.8,1.4,25–35,Pizza,€,"Paseo De La Castellana 191,  Madrid",Tetuán,4.046.807,-368.995
348,Taco Bell,200,4.1,1.4,20–30,Hamburguesas,€,"Calle De Bravo Murillo 250,   Madrid",Tetuán,4.045.982,-369.898
350,Empanadas Malvón,25,4.7,0.4,25–35,Empanada,€,"Av. De Brasil, 6,  Madrid",Tetuán,4.045.833,-369.354
351,La Mordida,25,4.4,0.9,45–55,Mediterránea,€,"Calle De Bravo Murillo, 206,  Madrid",Tetuán,4.045.522,-370.284
352,Express 88,60,4.6,0.9,30–40,De Latinoamérica,€€€,"Calle De Huesca, 19, Bajo,  Madrid",Tetuán,4.045.804,-369.889
353,La cabaña de cris,40,3.5,0.9,35–45,Pollo,€€€,"Calle De Bravo Murillo 199,   Madrid",Tetuán,4.045.622,-370.204
355,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle De La Infanta Mercedes 17,  Madrid",Tetuán,4.045.303,-369.951
356,Toro Burger Lounge,23,4.1,0.9,50–60,Empanada,€,"Calle De Raimundo Fernández Villaverde, 33,  Madrid",Tetuán,4.044.705,-370.016
357,Pizzería El Trébol 24h,18,4.4,1.4,35–45,Pizza,€€,"Av. De Brasil, 17,  Madrid",Tetuán,4.045.837,-369.289
359,Ala Sushi,40,3.5,0.9,30–40,Sushi,€,"Calle Castilla,4 ,  Madrid",Tetuán,4.045.286,-370.425
360,MANKA,52,4.9,0.9,40–50,Pizza,€€€,"Calle De Bravo Murillo, 113,  Madrid",Tetuán,4.044.805,-370.399
361,Little Caesars Pizza,200,4.6,3.0,15–25,Pizza,€,"Calle De Francos Rodríguez, 42,  Madrid",Tetuán,4.045.552,-370.451
363,EL ASADOR,40,3.5,0.9,55–65,Carne,€,"Calle De Manuel De Falla 5,   Madrid",Tetuán,4.045.502,-368.811
364,Limbo Player Two,40,3.5,1.4,45–55,Carne,€,"Castellana, 123,  Madrid",Tetuán,4.045.826,-369.067
365,Popeyes,200,4.0,0.9,25–35,Pollo,€,"Calle De San Germán, 64,  Madrid",Tetuán,4.045.729,-370.018
366,Fast chicken chain,40,3.5,0.9,35–45,Pollo,€,"Paseo De La Castellana 130,  Madrid",Tetuán,404.502,-369.019
368,Yakitoro,26,4.5,1.4,55–65,Comida reconfortante,€,"Calle Del Príncipe De Vergara, 210,  Madrid",Tetuán,4.042.562,-367.992
369,Home Burger Bar,198,4.1,1.9,35–45,Hamburguesas,€€,"Calle De Bravo Murillo 122,  Madrid",Tetuán,404.491,-370.348
370,Arepish,53,4.6,1.4,40–50,Venezolana,€,"C.C. La Vaguada, Av. De Monforte De Lemos, 32,  Madrid",Tetuán,4.047.888,-370.657
372,TGB,66,4.1,2.4,50–60,Hamburguesas,€,"Calle De Galería De Vallehermoso 4,  Madrid",Tetuán,4.043.946,-370.777
373,Real Fried Chicken,15,4.3,2.4,50–60,Alitas de pollo,€,"Avenida De Monforte De Lemos 36,  Madrid",Tetuán,4.047.932,-37.065
374,Pollo Criollo,40,3.5,2.4,55–65,Pollo,€,"Calle De Lérida 58,   Madrid",Tetuán,4.045.625,-370.013
376,Polloco Gourmet,40,3.5,3.0,30–50,Pollo,€,"Paseo De La Castellana, 210,  Madrid",Tetuán,404.632,-368.894
377,Taberna del Volapié,40,3.5,1.4,40–50,Tapas,€,"Calle De Cea Bermúdez 49,  Madrid",Tetuán,4.043.905,-370.972
378,Cerveceria Riaño,40,3.5,2.9,40–50,Cerveza,€,"Calle Bravo Murillo, 229,  Madrid",Tetuán,4.046.448,-369.484
