,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,lat,lon
0,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores,   Madrid",Centro,4.040.069,-369.925
1,TUTTO PASTA!,26,2.8,2.5,40–60,Family Meals,€,"Calle De Núñez De Arce, 11,  Madrid",Centro,4.041.538,-370.124
2,Pizza Central,31,3.8,2.99,35–55,Pizza,€,"Plaza Del Emperador Carlos V, 10,  Madrid",Centro,4.040.861,-369.288
4,La Tagliatella,15,3.9,0.9,25–35,Pizza,€,"Calle De Toledo 27,   Madrid",Centro,4.041.377,-370.737
5,Fritz Foods,41,4.5,0.4,30–40,Pizza,€,"Calle De Luchana 17,   Madrid",Centro,40.43,-370.099
6,Pizzart Luchana,28,3.1,1.9,50–60,Pizza,€,"Paseo De La Virgen Del Puerto, 45,  Madrid",Centro,4.040.922,-372.105
8,Kahuna,25,4.6,1.4,45–55,Burritos,€,"Calle De La Aduana 25,   Madrid",Centro,4.041.841,-370.073
9,Wacamole,50,3.9,0.9,40–50,De Latinoamérica,€,"Calle De Arriaza, 6,  Madrid",Centro,4.042.104,-371.579
10,El Imperio de la Empanada,28,3.1,0.9,45–55,Empanada,€,"Calle De San Andrés, 26,   Madrid",Centro,4.042.735,-370.352
12,Roost Chicken,28,3.1,1.4,45–55,Pollo,€,"Calle Mayor, 38,  Madrid",Centro,4.041.611,-370.831
13,Popeyes,200,4.3,0.4,30–40,Pollo,€,"Paseo Del Doctor Vallejo Nágera, 25 ,   Madrid",Centro,4.040.163,-370.811
14,Papa John's,200,4.3,1.9,30–40,Pizza,€,"Calle De Cáceres 1,  Madrid",Centro,4.039.854,-369.618
15,Comida china yonghe,50,4.3,2.4,40–50,China,€,"Calle Preciados, 29 ,  Madrid",Centro,4.041.959,-370.641
17,Taco Bell,145,4.3,0.9,30–40,Hamburguesas,€,"P.º De La Florida, 2,    Madrid",Centro,4.042.149,-371.954
18,KFC - Principe Pio,28,3.1,1.4,50–60,Pollo,€,"Travesía De La Parada 6,  Madrid",Centro,4.042.286,-370.803
19,EL LATÓN GRIS,66,3.7,0.9,45–55,Pollo,€€,"Calle De Mira El Sol, 1,   Madrid",Centro,4.040.781,-370.452
21,TAMCOC,28,3.1,1.4,40–50,Italiana,€€€,"Calle De La Alianza 33,   Madrid",Centro,4.035.775,-368.689
22,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Dos Hermanas, 22,   Madrid",Centro,4.041.041,-370.607
23,La Alegría de la Huerta,28,3.1,0.9,25–35,Vegetariano,€,"Calle De Núñez De Arce 11,  Madrid",Centro,4.041.538,-370.124
25,Empanadas BAIRES,28,3.1,2.99,35–55,Empanada,€,"Atocha, 64,  Madrid",Centro,4.041.154,-36.983
26,Domino's,89,4.4,1.0,15–25,Pizza,€€,"Calle De Los Donados 2,   Madrid",Centro,4.041.799,-370.834
27,Cor & Cor,28,3.1,0.4,30–40,Postres,€,"Calle De Carranza 3,   Madrid",Centro,4.042.895,-370.276
28,Tiendas 7x24,70,4.6,1.9,50–60,Tienda,€,"Calle De Tudescos, 4,  Madrid",Centro,403.747,-365.969
30,Super naan,28,3.1,0.9,50–60,India,€,"Calle Azabache, 6,   Madrid",Centro,4.039.215,-372.487
31,Super Dog,25,3.7,0.9,30–50,Hamburguesas,€,"Calle Gran Vía, 16,   Madrid",Centro,4.041.966,-369.894
32,Steak Burger,168,4.2,1.4,45–55,Americana,€,"Calle De La Cruz, 20,   Madrid",Centro,4.041.553,-370.175
34,Galipan,23,4.2,0.9,45–55,Halal,€,"Calle Del Dr Cortezo, 7,   Madrid",Centro,4.041.347,-370.389
35,El Turkito,200,4.1,0.9,30–40,Asiatica,€,"Paseo De Santa María De La Cabeza 14,   Madrid",Centro,4.040.615,-369.478
36,Arepish,186,4.4,1.9,35–45,Venezolana,€,"Hilarion Eslava 42,   Madrid",Centro,4.043.649,-371.684
38,CONVEXO,69,4.6,2.4,40–50,Pollo,€,"Calle Del Mesón De Paredes 52,   Madrid",Centro,4.040.597,-370.127
39,Mandela 100,28,3.1,0.9,40–50,India,€,"Calle Del Espíritu Santo 16,   Madrid",Centro,4.042.557,-370.629
40,MY Pasta Room,59,4.6,1.4,40–50,Italiana,€,"Calle Cáceres, 34,  Madrid",Centro,4.039.879,-36.959
41,Ristorante Pizzería Dante,61,4.1,2.4,45–55,Pizza,€,"Calle Gran Vía 74,   Madrid",Centro,4.042.146,-37.075
43,Trek Taco,28,3.1,0.9,40–50,Empanada,€,"Calle De San Bernardino, 20,   Madrid",Centro,4.042.541,-371.112
44,MILA TOWN,28,3.1,1.4,35–45,Americana,€,"Plaza Del Comandante Las Morenas 3,   Madrid",Centro,4.041.624,-370.883
45,Pollo Criollo,28,3.1,0.4,45–55,Pollo,€,"Paseo De Los Jesuitas 18,   Madrid",Centro,4.041.054,-373.129
47,Gourmet Madrid,24,3.3,2.4,60–70,Pizza,€,"Calle De Luchana 13,  Madrid",Centro,40.43,-370.099
48,Freedom Pizza,53,4.5,1.9,45–55,Pizza,€,"Calle De Mira El Sol 23b,   Madrid",Centro,4.040.763,-370.495
49,La Cochinita Loca,19,4.3,1.4,40–50,Colombiana,€,"Calle De Lavapiés 34,  Madrid",Centro,4.041.107,-370.275
51,Sonali Indian Restaurante,58,4.1,1.4,25–35,India,€,"Calle De Ayala 28,   Madrid",Centro,4.042.774,-368.571
52,SANABRIA,28,3.1,2.4,55–65,Tapas y raciones,€,"Plaza De La Cebada, 10,   Madrid",Centro,4.041.156,-371.008
53,Taberna La Buha,24,4.2,0.9,45–55,Tapas,€,"Calle De Galería De Vallehermoso 4,  Madrid",Centro,4.043.946,-370.777
54,Real Fried Chicken,15,4.3,2.4,50–60,Alitas de pollo,€,"Calle De Moncada 122,  Madrid",Centro,4.034.096,-369.201
56,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Calle Mayor, 42,   Madrid",Centro,4.041.606,-370.853
57,Las Muns,28,3.1,0.4,35–45,Panadería,€,"Calle Mayor, 31,   Madrid",Centro,4.041.613,-370.744
58,Chocolateria Tacita de Plata,13,4.1,0.4,35–45,Postres,€,"Calle Gran Vía, 22,   Madrid",Centro,4.042.011,-37.007
60,TGB,89,3.9,1.4,50–60,Hamburguesas,€€€,"Calle Vergara 3,   Madrid",Centro,4.041.775,-371.025
61,Mr. Pizza Madrid,28,3.1,0.9,35–45,Italiana,€,"Calle De Toledo, 63,   Madrid",Centro,4.041.122,-370.801
62,McDonald's,200,4.3,0.9,25–35,Hamburguesas,€,"Calle Libertad, 9,  Madrid",Centro,4.042.072,-369.767
64,Puccias Chueca,28,3.1,1.4,30–40,Americana,€,"Paseo De Santa María De La Cabeza, 86,   Madrid",Centro,4.039.875,-370.153
65,Beiben,14,4.2,1.9,30–40,Tapas,€,"Calle Andrés Mellado 43,  Madrid",Centro,4.044.112,-371.427
66,La Bruja del Vesuvio,28,3.1,1.9,40–50,Comida rápida,€,"Calle De Cea Bermúdez 49,   Madrid",Centro,4.043.905,-370.972
67,Cerveceria Riaño,28,3.1,2.9,45–55,Cerveza,€,"Calle De José Calvo 6,   Madrid",Centro,4.045.883,-370.845
69,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores,   Madrid",Arganzuela,4.040.069,-369.925
70,TUTTO PASTA!,26,2.8,2.5,40–60,Especialidades,€,"Calle De Cáceres 1,   Madrid",Arganzuela,4.039.854,-369.618
71,Pizza Central,31,3.8,2.99,35–55,Pizza,€,"Calle Cáceres, 34,  Madrid",Arganzuela,4.039.879,-36.959
73,Ristorante Pizzería Dante,61,4.1,2.4,40–60,Pizza,€,"Paseo Del Doctor Vallejo Nágera, 25 ,  Madrid",Arganzuela,4.040.163,-370.811
74,Papa John's,200,4.3,0.9,20–30,Pizza,€,"Paseo Delicias, 65,   Madrid",Arganzuela,4.039.908,-369.435
75,Domino's,33,4.3,1.0,15–35,Pizza,€,"Calle De Toledo 27,   Madrid",Arganzuela,4.041.377,-370.737
77,Fritz Foods,41,4.5,1.9,45–55,Pizza,€,"Paseo De La Virgen Del Puerto, 45,  Madrid",Arganzuela,4.040.922,-372.105
78,Kahuna,25,4.6,2.4,50–60,Burritos,€,"Plaza Emperador Carlos V 11 ,   Madrid",Arganzuela,404.085,-369.295
79,Taco Bell,200,4.2,1.4,20–30,Hamburguesas,€,"Av. Del Manzanares, 210,  Madrid",Arganzuela,4.039.021,-370.016
80,La Tagliatella,15,3.9,2.4,25–35,Pizza,€,"Paseo De Santa María De La Cabeza 14,   Madrid",Arganzuela,4.040.615,-369.478
82,Arepish,186,4.4,1.4,25–35,Venezolana,€,"Paseo De Las Acacias, 22,  Madrid",Arganzuela,4.040.391,-370.708
83,McDonald's,200,4.4,1.4,15–25,Hamburguesas,€,"Calle Monederos 12,   Madrid",Arganzuela,4.038.776,-370.159
84,Precio Calidad y sabor,17,4.4,2.0,40–60,Bar Food,€€,"Calle De Mira El Sol, 1,   Madrid",Arganzuela,4.040.781,-370.452
86,TAMCOC,28,3.1,1.4,45–55,Italiana,€€€,"Calle De La Alianza 33,   Madrid",Arganzuela,4.035.775,-368.689
87,Chinawokexpress,200,4.2,4.25,30–50,China,€€€,"Calle Azabache, 6,   Madrid",Arganzuela,4.039.215,-372.487
88,Super Dog,25,3.7,1.4,30–50,Hamburguesas,€,"Calle Del Gral. Ricardos, 92,   Madrid",Arganzuela,4.039.347,-372.325
90,Autoservicio,77,4.8,2.4,30–40,Tienda,€,"Avenida De Rafaela Ybarra 37,   Madrid",Arganzuela,4.036.433,-371.421
91,Perla del Pacifico,66,4.1,2.4,40–50,Mediterránea,€,"Avenida De Oporto 14,   Madrid",Arganzuela,4.038.512,-372.238
92,TROPICALISSIMA,84,4.4,2.4,35–45,Americana,€,"Paseo De Santa María De La Cabeza, 86,   Madrid",Arganzuela,4.039.875,-370.153
93,Beiben,14,4.2,0.4,25–35,Tapas,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Arganzuela,4.045.069,-367.173
95,Streat Lab,50,4.6,2.9,50–60,Pollo,€,"Calle Mayor, 38,  Madrid",Arganzuela,4.041.611,-370.831
96,Popeyes,200,4.3,2.4,55–65,Pollo,€,"Calle Felipe Fraile 5,   Madrid",Arganzuela,403.971,-366.602
97,On Rush,14,4.8,2.4,50–60,Burritos,€,"Avenida De La Albufera, 40,   Madrid",Arganzuela,4.039.682,-366.662
99,El Sabroso Albufera,30,3.9,2.9,30–40,Comida rápida,€,"Calle Núñez De Arce, 11,   Madrid",Arganzuela,4.041.537,-370.106
100,Pizzería Argentina El Trébol,24,4.3,2.99,35–55,Pizza,€,"Calle Dos Hermanas, 22,   Madrid",Arganzuela,4.041.041,-370.607
101,La Alegría de la Huerta,28,3.1,1.9,30–40,Vegetariano,€,"Travesía De La Parada 6,   Madrid",Arganzuela,4.042.286,-370.803
103,EL LATÓN GRIS,66,3.7,2.4,70–80,Pollo,€,"Calle Del Mesón De Paredes 52,  Madrid",Arganzuela,4.040.597,-370.127
104,Mandela 100,28,3.1,1.4,40–50,India,€,"Calle De Mira El Sol 23b,   Madrid",Arganzuela,4.040.763,-370.495
105,Pollo Rico Al carbón,68,4.5,1.9,40–50,Pollo,€,"Calle De Moncada 122,   Madrid",Arganzuela,4.034.096,-369.201
106,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Calle De La Antracita 12,   Madrid",Arganzuela,4.039.295,-368.724
108,Empanadas Malvón,31,5.0,1.4,25–35,Empanada,€,"Calle Del Dr Cortezo, 7,   Madrid",Arganzuela,4.041.347,-370.389
109,El Turkito,200,4.1,1.9,40–50,Asiatica,€,"Calle De La Cruz, 20,   Madrid",Arganzuela,4.041.553,-370.175
110,Galipan,23,4.2,1.9,55–65,Halal,€,"Calle Gran Vía, 16,   Madrid",Arganzuela,4.041.966,-369.894
112,Steak Burger,168,4.2,2.4,55–65,Americana,€,"Calle De Antonio López 109,   Madrid",Arganzuela,4.038.678,-369.811
113,Pollo Criollo,28,3.1,1.4,45–55,Pollo,€,"Calle De Núñez De Arce 11,   Madrid",Arganzuela,4.041.538,-370.124
114,Empanadas BAIRES,28,3.1,2.99,35–55,Empanada,€,"Calle De Tudescos, 4,   Madrid",Arganzuela,403.747,-365.969
116,Super naan,30,3.1,2.4,65–75,India,€,"Calle De Lavapiés 34,   Madrid",Arganzuela,4.041.107,-370.275
117,Sonali Indian Restaurante,58,4.1,1.4,30–40,India,€€€,"Calle De Los Donados 2,   Madrid",Arganzuela,4.041.799,-370.834
118,Cor & Cor,30,3.1,2.4,55–65,Postres,€,"Calle Libertad, 9,  Madrid",Arganzuela,4.042.072,-369.767
119,Puccias Chueca,30,3.1,2.4,40–50,Americana,€,"Ronda De Valencia, 14,   Madrid",Arganzuela,4.040.547,-370.151
121,Aloha Poke,200,4.5,1.4,20–30,Poke,€,"Calle De Atocha 98,   Madrid",Arganzuela,4.041.053,-36.958
122,Capasso Pizza,30,3.1,1.4,35–45,Pizza,€,"Calle De Lavapiés, 34,   Madrid",Arganzuela,4.041.107,-370.275
123,Shapla Indian,31,4.3,1.4,35–45,Pizza,€,"Calle Arechavaleta 6,   Madrid",Arganzuela,4.040.605,-370.752
125,Pura Italia,109,3.2,1.9,35–55,Italiana,€,"Plaza Del Comandante Las Morenas 3,   Madrid",Arganzuela,4.041.624,-370.883
126,Pollo Criollo,30,3.1,1.9,60–70,Pollo,€,"Plaza De La Cebada, 10,   Madrid",Arganzuela,4.041.156,-371.008
127,Taberna La Buha,24,4.2,1.9,55–65,Tapas,€,"Calle Ariel,15,   Madrid",Arganzuela,4.041.056,-371.352
129,El Buen Gusto,17,4.5,1.9,45–55,Bar Food,€,"Calle De Palos De La Frontera 38,  Madrid",Arganzuela,4.040.302,-369.613
130,La Pizza é Bella,12,4.5,1.4,25–35,Pizza,€,"Calle Mayor, 42,   Madrid",Arganzuela,4.041.606,-370.853
131,Las Muns,30,3.1,2.4,50–60,Panadería,€,"Calle De Atocha, 117,   Madrid",Arganzuela,4.041.013,-369.412
132,Halal Steak House Grill,30,3.1,1.4,30–40,Carne,€,"Calle De Silva, 25,   Madrid",Arganzuela,4.042.186,-370.571
134,Home Burger Bar,200,4.3,2.4,60–70,Hamburguesas,€,"Plaza De Puerta Cerrada 6,   Madrid",Arganzuela,4.041.375,-370.816
135,LaRegustosa,26,4.2,1.9,60–70,Empanada,€,"Calle De Embajadores, 12,  Madrid",Arganzuela,4.040.069,-369.925
136,TUTTO PASTA!,26,2.8,2.5,40–60,Platos a base de harina,€,"Plaza Del Emperador Carlos V, 10,  Madrid",Retiro,4.040.861,-369.288
138,Scarlett Real Food,30,3.1,1.4,35–45,Postres,€,"Calle De Cáceres 1,   Madrid",Retiro,4.039.854,-369.618
139,Comida china yonghe,50,4.3,0.9,25–35,China,€,"Calle Cáceres, 34,  Madrid",Retiro,4.039.879,-36.959
140,Ristorante Pizzería Dante,61,4.1,2.4,40–60,Pizza,€,"Paseo Del Doctor Vallejo Nágera, 25 ,   Madrid",Retiro,4.040.163,-370.811
142,Papa John's,200,4.3,0.9,20–30,Pizza,€,"Paseo Delicias, 65,   Madrid",Retiro,4.039.908,-369.435
143,Domino's,33,4.3,1.0,15–35,Pizza,€,"Calle Azulejo 2,   Madrid",Retiro,4.033.274,-371.905
144,Pizzería Argentina El Trébol,30,3.1,1.9,40–50,Pizza,€,"Calle De Cáceres 1,   Madrid",Retiro,4.039.854,-369.618
145,Comida china yonghe,50,4.3,1.9,40–50,China,€€€,"Calle De La Alianza 33,   Madrid",Retiro,4.035.775,-368.689
147,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Retiro,4.045.069,-367.173
148,Streat Lab,50,4.6,1.9,40–50,Pollo,€€€,"Calle Azabache, 6,   Madrid",Retiro,4.039.215,-372.487
149,Super Dog,25,3.7,4.25,30–50,Hamburguesas,€,"Calle Felipe Fraile 5,   Madrid",Retiro,403.971,-366.602
151,On Rush,14,4.8,1.4,40–50,Burritos,€,"Avenida De La Albufera, 40,  Madrid",Retiro,4.039.682,-366.662
152,El Sabroso Albufera,30,3.9,1.9,20–30,Comida rápida,€,"Paseo De Santa María De La Cabeza 14,  Madrid",Retiro,4.040.615,-369.478
